ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
da33f048-aa78-5897-9a05-904fd810bb9a,tg:lhph:3209,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:3209,record identifiers,https://data.letterenhuis.be/ark:/24970/da33f048-aa78-5897-9a05-904fd810bb9a,object identifier,Foto's,
da33f048-aa78-5897-9a05-904fd810bb9a,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""369c94ed-7ff7-4f86-b91f-cdde3b212733"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a42a427b-6ba2-47fc-bafe-5c9458313beb"", ""inverseOntologyProperty"": """"}]"
da33f048-aa78-5897-9a05-904fd810bb9a,tg:lhph:3209,e73_Copyrights,,,,,,,1973.0,2088,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,tg:lhph:3209,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,tg:lhph:3209,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,tg:lhph:3209,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Ward Ruyslinck. Olieverfschilderij.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000002982,referentienummer,,False,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:3209,brocade id,,False,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:3209/N,brocade url,,False,,,,,,,,,,,,,
da33f048-aa78-5897-9a05-904fd810bb9a,tg:lhph:3209,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d6ef46d4-702c-5430-8d9b-2e2edc8e0678"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7dc891af-f58c-4b0c-b69c-2f14f878a9be"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
