ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,tg:lhph:35935,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:35935,record identifiers,https://data.letterenhuis.be/ark:/24970/f9cb29f7-7775-553f-aa26-c07e1d9f34cb,object identifier,Foto's,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,tg:lhph:35935,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Op achterkant stempel 'Het Nieuwsblad : De Standaard'. Fotograaf Marc Cels. Indexfoto.</p>
","<p>Op achterkant stempel 'Het Nieuwsblad : De Standaard'. Fotograaf Marc Cels. Indexfoto.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b98523f4-78d9-44ef-8062-5b63b58adcf9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7971d8d4-3e70-438e-ba09-a8de8f41b4da"", ""inverseOntologyProperty"": """"}]"
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,tg:lhph:35935,e73_Copyrights,,,,,,,1979.0,2094,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,tg:lhph:35935,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19790517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,tg:lhph:35935,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-05-17,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,tg:lhph:35935,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Edward Léonard, portret, in een boek aan het kijken, ten halven lijve.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000034737,referentienummer,,False,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:35935,brocade id,,False,,,,,,,,,,,,,
f9cb29f7-7775-553f-aa26-c07e1d9f34cb,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:35935/N,brocade url,,False,,,,,,,,,,,,,
