ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:26458,record identifiers,https://data.letterenhuis.be/ark:/24970/fea7d473-88b7-5bc3-b1e1-94a94e305aa4,object identifier,Foto's,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Als post-en visitenkaart van fotograaf 'Klary, Brussel'. Beschrijving en witte rand aan onderkant.</p>
","<p>Als post-en visitenkaart van fotograaf 'Klary, Brussel'. Beschrijving en witte rand aan onderkant.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1ca88f1a-a63b-4427-87ef-ee4236e24ae3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20d086e2-601d-4369-a269-4c9e18c94866"", ""inverseOntologyProperty"": """"}]"
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458,e73_Copyrights,,,,,,,1902.0,2017,No Known Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Brussel,,,,,,Brussel (Brussel-Hoofdstad),au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,,au::100105,remarks,Nederlands,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/10711235"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,tg:lhph:26458,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Jeanne Paquot (met arm uitgestrekt) en Harriet Strasy. Studioportret als Djovita en Kerlin in <em>La Fiancée de la Mer</em> van Jan Blockx.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000025399,referentienummer,,False,,,,,,,,,,,,,
fea7d473-88b7-5bc3-b1e1-94a94e305aa4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:26458,brocade id,,False,,,,,,,,,,,,,
