ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:37994_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/652628db-3a73-586f-aa57-f7b14a078131,object identifier,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_AcquisitionNumbers,1,74447/d,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_Acquisitions,1,,,tr:lh:3832,"dlod={""name"":""Aankoop bij Jos Polak"",""ark"":""ark:/24970/x0/9314f4d7-f5a5-5407-8b22-3cad98d6d43d"",""uri"":""/repositories/11/accessions/410027"",""id"":""tr:lh:3832"",""date"":""1966-01-11"",""granter"":""Jos Polak"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/9314f4d7-f5a5-5407-8b22-3cad98d6d43d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,175 x 230,,,,,,,,,,"175 x 230 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,230,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:37994_#1,74447/d,M 198 / P,652628db-3a73-586f-aa57-f7b14a078131,tr:lh:3832,,,,,,,,,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.0,permission required,,,,,,,,
652628db-3a73-586f-aa57-f7b14a078131,tg:lhph:37994_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CbqxgaQvwTDFIgkoWoqCJQ6K,lhph,https://dams.antwerpen.be/iiif/CbqxgaQvwTDFIgkoWoqCJQ6K/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/CbqxgaQvwTDFIgkoWoqCJQ6K,DAMS Image,lhph,Foto
