ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:23515_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/6899565b-af4e-5493-9de8-6d1f832acd25,object identifier,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_AcquisitionNumbers,1,18380,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_Acquisitions,1,,,tr:lh:981,"dlod={""name"":""Schenking van Ger Schmook [Sr.]"",""ark"":""ark:/24970/x0/b5a20fc7-93f0-5f8e-befb-aad0d87eff67"",""uri"":""/repositories/11/accessions/104970"",""id"":""tr:lh:981"",""date"":""1940-10-28"",""granter"":""Ger Schmook"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/b5a20fc7-93f0-5f8e-befb-aad0d87eff67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,90 x 137,,,,,,,,,,"90 x 137 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,90,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,137,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:23515_#1,18380,M 786 / P,6899565b-af4e-5493-9de8-6d1f832acd25,tr:lh:981,,,,,,,,,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.0,permission required,,,,,,,,
6899565b-af4e-5493-9de8-6d1f832acd25,tg:lhph:23515_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1KKViTLRYUfWQPFgXGeargz,lhph,https://dams.antwerpen.be/iiif/A1KKViTLRYUfWQPFgXGeargz/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/A1KKViTLRYUfWQPFgXGeargz,DAMS Image,lhph,Foto
