ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:44675_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/8332e231-402d-5967-b602-51af7c1a5d2d,object identifier,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_AcquisitionNumbers,1,220596/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_Archives,1,,,,,,,,,,,isad:lh:95826,"dlod={""name"":""Foto's i.v.m. Roger Binnemans"",""ark"":""ark:/24970/x0/0b71bde8-b43d-507d-9078-6f03e7ddc8aa"",""uri"":""/repositories/11/archival_objects/10253385"",""id"":""isad:lh:95826"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Roger Binnemans"",""resourceArk"":""ark:/24970/x0/2bc9d90b-6e04-5c58-ba5d-056a59ef5c6f"",""resourceURI"":""/repositories/11/resources/706310"",""resourceID"":""isad:lh:6601"",""capacity"":""Foto's i.v.m. Roger Binnemans"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/0b71bde8-b43d-507d-9078-6f03e7ddc8aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,100 x 137,,,,,,,,,,"100 x 137 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,100,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,137,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:44675_#1,220596/2,B 58885 / P,8332e231-402d-5967-b602-51af7c1a5d2d,,isad:lh:95826,,,,,,,,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,CP,,,,,,,,,,,,,,,,,,,,,,,,color photographs,,,,,,,,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0,permission required,,,,,,,,
8332e231-402d-5967-b602-51af7c1a5d2d,tg:lhph:44675_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a19kWZnvOcRcTFVYOb4o6peF,lhph,https://dams.antwerpen.be/iiif/a19kWZnvOcRcTFVYOb4o6peF/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/a19kWZnvOcRcTFVYOb4o6peF,DAMS Image,lhph,Foto
