ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:36961_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/af61ec91-849c-5d50-8b9e-c7f196cefbb3,object identifier,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_AcquisitionNumbers,1,115892,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_Acquisitions,1,,,tr:lh:5718,"dlod={""name"":""Archief van Pol de Mont"",""ark"":""ark:/24970/x0/0821ffc0-4607-501a-a07e-dab0e2e6e11f"",""uri"":""/repositories/11/accessions/611829"",""id"":""tr:lh:5718"",""date"":""1980-05-30"",""granter"":""Selma de Mont"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/0821ffc0-4607-501a-a07e-dab0e2e6e11f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_Archives,1,,,,,,,,,,,isad:lh:93552,"dlod={""name"":""Foto's (verzameling)"",""ark"":""ark:/24970/x0/e7390ef8-4fb4-5c45-93df-8b4d86ff366d"",""uri"":""/repositories/11/archival_objects/10010067"",""id"":""isad:lh:93552"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Pol de Mont"",""resourceArk"":""ark:/24970/x0/82ac8c1a-5348-5a2d-b0e8-19b42f039559"",""resourceURI"":""/repositories/11/resources/19584"",""resourceID"":""isad:lh:183"",""capacity"":""Foto's (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/e7390ef8-4fb4-5c45-93df-8b4d86ff366d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,138 x 87,,,,,,,,,,"138 x 87 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,138,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,87,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:36961_#1,115892,L 706 / P,af61ec91-849c-5d50-8b9e-c7f196cefbb3,tr:lh:5718,isad:lh:93552,,,,,,,,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
af61ec91-849c-5d50-8b9e-c7f196cefbb3,tg:lhph:36961_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uHWeeWfofZikkeDgRJ5JO44Q,lhph,https://dams.antwerpen.be/iiif/uHWeeWfofZikkeDgRJ5JO44Q/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/uHWeeWfofZikkeDgRJ5JO44Q,DAMS Image,lhph,Foto
