ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:28086_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/bc3c2dfa-5b43-5d6b-8597-43e724f238df,object identifier,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_AcquisitionNumbers,1,148141/88,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_Acquisitions,1,,,tr:lh:6350,"dlod={""name"":""Archief van Albert Poels"",""ark"":""ark:/24970/x0/3888f7ce-a1a6-5c99-8eb8-854bba01ed79"",""uri"":""/repositories/11/accessions/679453"",""id"":""tr:lh:6350"",""date"":""1986-12-19"",""granter"":""Jan Poels"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/3888f7ce-a1a6-5c99-8eb8-854bba01ed79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,240 x 180,,,,,,,,,,"240 x 180 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,240,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,180,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:28086_#1,148141/88,P 616 / P (K-N),bc3c2dfa-5b43-5d6b-8597-43e724f238df,tr:lh:6350,,,,,,,,,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
bc3c2dfa-5b43-5d6b-8597-43e724f238df,tg:lhph:28086_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1PbLd3XSXFNVKdQW6uO6f1F,lhph,https://dams.antwerpen.be/iiif/d1PbLd3XSXFNVKdQW6uO6f1F/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/d1PbLd3XSXFNVKdQW6uO6f1F,DAMS Image,lhph,Foto
