ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:8149_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,object identifier,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_AcquisitionNumbers,1,104098/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_Acquisitions,1,,,tr:lh:5291,"dlod={""name"":""Schenking van Angela Simonart"",""ark"":""ark:/24970/x0/c6ea663d-68b4-5d63-b39a-183ddec054e3"",""uri"":""/repositories/11/accessions/566140"",""id"":""tr:lh:5291"",""date"":""1977-06-27"",""granter"":""Angela Simonart"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/c6ea663d-68b4-5d63-b39a-183ddec054e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,175 x 115,,,,,,,,,,"175 x 115 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,115,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:8149_#1,104098/3,V 7075 / P,dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tr:lh:5291,,,,,,,,,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.0,permission required,,,,,,,,
dd2b9fbf-24b1-55a3-b10e-413fd6ef4eb6,tg:lhph:8149_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2PuEAcCVbthnAP8bmhVrnUO,lhph,https://dams.antwerpen.be/iiif/Q2PuEAcCVbthnAP8bmhVrnUO/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Q2PuEAcCVbthnAP8bmhVrnUO,DAMS Image,lhph,Foto
