ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:12430,record identifiers,https://data.letterenhuis.be/ark:/24970/731e5ef0-e590-5ce8-a5a8-d4ee2700997b,object identifier,Prenten,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""672a6495-5773-44bf-8f6b-1fdba7a170de"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ce40db31-31a6-4267-bd8d-739d037715b6"", ""inverseOntologyProperty"": """"}]"
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.0,2063,In Copyright,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Een middeleeuws gekleed man staat met een lans op een kast. Op de muur hangt een spiegel met zicht op een bos met bomen en een hert en een stroompje.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000004586,referentienummer,False,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:12430,brocade id,False,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:12430/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""42bd0650-9727-5c6a-b778-0fcd4e4c4737"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9f9fb428-c6ef-44cb-a6c7-4efc6b64255d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
731e5ef0-e590-5ce8-a5a8-d4ee2700997b,tg:lhpr:12430,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex libris voor André Vercammen door Luc de Jaegher,constructed titles,Dutch (language),,,,,,,,,,,,
