ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,tg:lhpr:1460,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:1460,record identifiers,https://data.letterenhuis.be/ark:/24970/7e4cb60b-2b24-5d04-be2a-0e3b3683048d,object identifier,Prenten,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""82f5dbab-cd62-4849-9f76-3a8cc5eaca93"", ""ontologyProperty"": """", ""resourceXresourceId"": ""68258cb1-31c7-432c-8f55-4010fc87c719"", ""inverseOntologyProperty"": """"}]"
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,tg:lhpr:1460,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000000029,referentienummer,False,,,,,,,,,,,,,,,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICONOGRAFIE¼60i.tif,commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:1460,brocade id,False,,,,,,,,,,,,,,,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:1460/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,,e73_LegacyInformation,3,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong><em>VERKEERDE INSCHRIJVINGSNUMMERS!!!</em></strong></p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,tg:lhpr:1460,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0a4e1ef1-ab33-5b5a-a860-d984591189a5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0aafc984-451d-41cc-8bb7-29671cd37fcb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
7e4cb60b-2b24-5d04-be2a-0e3b3683048d,tg:lhpr:1460,e73_MaterialRecords,2,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f7a53970-cbb3-59df-a68e-5d0ebc2ac103"", ""ontologyProperty"": """", ""resourceXresourceId"": ""51c36616-17a4-40a7-99ca-14fe6512d376"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
