ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,tg:lhpr:5346,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:5346,record identifiers,https://data.letterenhuis.be/ark:/24970/8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,object identifier,Prenten,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8e144faf-02a1-4ba9-9b0c-0b697896933c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""97fd84ca-a5f8-4d88-8dc2-c77c5b50ad47"", ""inverseOntologyProperty"": """"}]"
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,tg:lhpr:5346,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,2048,In Copyright,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,tg:lhpr:5346,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,tg:lhpr:5346,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000000926,referentienummer,False,,,,,,,,,,,,,,,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:5346,brocade id,False,,,,,,,,,,,,,,,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:5346/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,tg:lhpr:5346,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e37e3f7e-758d-5f68-8e02-bd608005fbed"", ""ontologyProperty"": """", ""resourceXresourceId"": ""48da310a-1b99-4c23-bbe6-0ea397afce5b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
8884c4c5-b6a4-5f09-aa02-c9621a54d5ee,tg:lhpr:5346,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portret van Henry van de Velde,constructed titles,Dutch (language),,,,,,,,,,,,
