ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
bd306521-757f-5138-93a5-dcb11aa75238,tg:lhpr:2525,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:2525,record identifiers,https://data.letterenhuis.be/ark:/24970/bd306521-757f-5138-93a5-dcb11aa75238,object identifier,Prenten,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ce6d3c32-a3ca-465e-84f8-a75d871b0e46"", ""ontologyProperty"": """", ""resourceXresourceId"": ""49cf639e-d4fb-4527-bb75-1c69dd96587b"", ""inverseOntologyProperty"": """"}]"
bd306521-757f-5138-93a5-dcb11aa75238,tg:lhpr:2525,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.0,2034,In Copyright,
bd306521-757f-5138-93a5-dcb11aa75238,tg:lhpr:2525,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,tg:lhpr:2525,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000000286,referentienummer,False,,,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:2525,brocade id,False,,,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:2525/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,,e73_LegacyInformation,3,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>L.Baekelmans</p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,tg:lhpr:2525,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ea09b574-4754-5751-9572-61268cd07aae"", ""ontologyProperty"": """", ""resourceXresourceId"": ""32081ecf-87a0-43a4-9785-5ba97194e811"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
bd306521-757f-5138-93a5-dcb11aa75238,tg:lhpr:2525,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restitutie-revolutie,titles proper,Dutch (language),,,,,,,,,,,,
