ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:10160,record identifiers,https://data.letterenhuis.be/ark:/24970/ebef345a-d11d-5e95-baa3-23533bd3ef9f,object identifier,Tekeningen,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Oorspronkelijke nummering van Dujardin: XXII, 176</p>
","<p>Oorspronkelijke nummering van Dujardin: XXII, 176</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cc64265f-0031-4343-be83-72eb9d197f18"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9b07a394-4d3e-483a-ac78-94b36d218001"", ""inverseOntologyProperty"": """"}]"
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852.0,1967,No Copyright - Public Domain Mark 1.0,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,1853 - frontispies,Nederlands,remarks,c:lvd:115034,https://anet.be/record/opacanet/,Publicaties in de Anet catalogus,,,,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/tk/000005732,referentienummer,False,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhtk:10160,brocade id,False,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhtk:10160/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0c860f2c-505b-5e0a-923e-9158c11ec27e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""47538f2a-79cf-4893-acc7-faa31d246c60"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volks-Almanak voor Nederlandsche Katholieken 1853 1,titles proper,Dutch (language),,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_Titles,2,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ioannes Stalpaert van der Wiele,constructed titles,Dutch (language),,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_Titles,,,au::6009,,,,lh,lhtk,Iconografie,9a54d625-6f4e-5800-b417-b291bbae0160,ar,artists (visual artists),au::6009:1,au::6009g:1,,"dlod={""suggest"":[""/agents/people/642963"",""au::6009"",""au::6009:1"",""ark:/83110/x0/9a54d625-6f4e-5800-b417-b291bbae0160"",""Edward Dujardin"",""ark:/83110/x0/cf6b837f-4169-5283-8b15-13dce32e1264""],""name"":""Edward Dujardin"",""ark"":""ark:/83110/x0/cf6b837f-4169-5283-8b15-13dce32e1264"",""uri"":""/agents/people/642963"",""id"":""au::6009:1"",""resourceArk"":""ark:/83110/x0/9a54d625-6f4e-5800-b417-b291bbae0160"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9a54d625-6f4e-5800-b417-b291bbae0160,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebef345a-d11d-5e95-baa3-23533bd3ef9f,tg:lhtk:10160,e73_Titles,,,au::17470,,,,lh,lhtk,Iconografie,a4d1da5d-96fb-5351-810d-bbecf10f9d91,kw,,au::17470:1,au::17470g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1869290"",""au::17470"",""au::17470:1"",""ark:/83110/x0/a4d1da5d-96fb-5351-810d-bbecf10f9d91"",""Johannes R.L. Stalpaert van der Wiele"",""ark:/83110/x0/d25c5130-7f3e-50b9-9993-af039ed4dce3""],""name"":""Johannes R.L. Stalpaert van der Wiele"",""ark"":""ark:/83110/x0/d25c5130-7f3e-50b9-9993-af039ed4dce3"",""uri"":""/agents/people/1869290"",""id"":""au::17470:1"",""resourceArk"":""ark:/83110/x0/a4d1da5d-96fb-5351-810d-bbecf10f9d91"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a4d1da5d-96fb-5351-810d-bbecf10f9d91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
