ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
efde1956-9a6b-5c71-96cb-69e59c8577f9,tg:lhpr:11784,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:11784,record identifiers,https://data.letterenhuis.be/ark:/24970/efde1956-9a6b-5c71-96cb-69e59c8577f9,object identifier,Prenten,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""96d041e2-b06d-42b1-9797-0e9085347352"", ""ontologyProperty"": """", ""resourceXresourceId"": ""48fc7dc6-1c00-41b9-91da-6ff2fc88aa5a"", ""inverseOntologyProperty"": """"}]"
efde1956-9a6b-5c71-96cb-69e59c8577f9,tg:lhpr:11784,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
efde1956-9a6b-5c71-96cb-69e59c8577f9,tg:lhpr:11784,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Twee vogels vliegen voorbij een grote witte wolk.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000003945,referentienummer,False,,,,,,,,,,,,,,,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:11784,brocade id,False,,,,,,,,,,,,,,,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:11784/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,tg:lhpr:11784,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c9c0515d-02d1-5dbd-89c0-bd0396251032"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a7bab93f-7e53-4286-8f18-cccb446a461b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,tg:lhpr:11784,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex libris voor Valéria Könyve door Radvanyi-Roman Karoly,constructed titles,Dutch (language),,,,,,,,,,,,
efde1956-9a6b-5c71-96cb-69e59c8577f9,tg:lhpr:11784,e73_Titles,,,au::6498,,,,lh,lhpr,Iconografie,54a69fd6-2e8d-545e-8c5e-16005f9c2ee9,kw,,au::6498:1,au::6498g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""Ex libris"",""ark"":""ark:/83110/x0/54a69fd6-2e8d-545e-8c5e-16005f9c2ee9"",""uri"":""/subjects/695286"",""id"":""au::6498"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""topic""}",ark:/83110/x0/54a69fd6-2e8d-545e-8c5e-16005f9c2ee9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
