ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:13446_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/32ac0931-3013-503a-a1a8-981d988c2af7,object identifier,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_Archives,1,,,,,,,,,,,isad:lh:139362,"dlod={""name"":""Levensloop"",""ark"":""ark:/24970/x0/4f6c10b8-2929-58d2-9df2-cb71ecf6145b"",""uri"":""/repositories/11/archival_objects/14911737"",""id"":""isad:lh:139362"",""nameWithContext"":[""Verzamelingen"",""Archivalia van  Prosper Arents"",""Privé""],""resourceName"":""Collectie van Alfons K.L. Thijs"",""resourceArk"":""ark:/24970/x0/c830d1d1-a04d-57dd-9684-e26cc73e4854"",""resourceURI"":""/repositories/11/resources/13009170"",""resourceID"":""isad:lh:121581"",""capacity"":""Levensloop"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/4f6c10b8-2929-58d2-9df2-cb71ecf6145b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"23 x 17,5",,,,,,,,,,,,,,,,,"23 x 17,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,230,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,175,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:13446_#1,,isad:lh:139362,Planex KP / A 393,32ac0931-3013-503a-a1a8-981d988c2af7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>r.o.: <em>Rolf Saulin</em> ?<br />
<em>Heist 8-1952</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechaanvtk.lhtechtaddtk,chalk sticks,,,,,,,,,,,,,,,,,,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.0,permission required,,,,,,,,
32ac0931-3013-503a-a1a8-981d988c2af7,tg:lhtk:13446_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yfOhSgeYV4ONIohUfRuPvhaf,lhtk,https://dams.antwerpen.be/iiif/yfOhSgeYV4ONIohUfRuPvhaf/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/yfOhSgeYV4ONIohUfRuPvhaf,DAMS Image,lh,Iconografie
