ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:8185_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/8c8877c0-4246-58e7-a279-c1b3f8854929,object identifier,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_AcquisitionNumbers,1,,,,195192,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Acquisitions,1,tr:lh:7342,"dlod={""name"":""Archief van Juul Bovée"",""ark"":""ark:/24970/x0/b1ec2cbf-d9f0-59ed-a7fb-49ca200ee564"",""uri"":""/repositories/11/accessions/785597"",""id"":""tr:lh:7342"",""date"":""1996-06-24"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/b1ec2cbf-d9f0-59ed-a7fb-49ca200ee564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Archives,1,,,,,,,,,,,isad:lh:97020,"dlod={""name"":""Tekeningen"",""ark"":""ark:/24970/x0/78998511-9d13-51cd-bb8a-51cfd342b8bb"",""uri"":""/repositories/11/archival_objects/10381143"",""id"":""isad:lh:97020"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Juul Bovée"",""resourceArk"":""ark:/24970/x0/66b31aef-dbc8-5cb5-91bc-ead65f54dc15"",""resourceURI"":""/repositories/11/resources/10090745"",""resourceID"":""isad:lh:94306"",""capacity"":""Tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/78998511-9d13-51cd-bb8a-51cfd342b8bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,white (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>16/10/2007: Goed, vergeeld, opgekleefd op papier.</p>
",,,,,,,,,,,"<p>16/10/2007: Goed, vergeeld, opgekleefd op papier.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"16,1 x 11",,,,,,,,,,,,,,,,,"16,1 x 11 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,24 x 18,,,,,,,,,,,,,,,,,"24 x 18 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,161,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,110,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,240,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,180,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:7342,tg:lhtk:8185_#1,195192,isad:lh:97020,Planex KP / V 3445,8c8877c0-4246-58e7-a279-c1b3f8854929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Middenonder: _V. Hove</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,ink,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechaanvtk.lhtechtaddtk,India ink (ink),kenmerken/lhtechaanvtk.lhkleur,black (color),,,,,,,,,,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_ProductionTechniques,1,,,,,,kenmerken/lhtechbasistk.lhtechtk,tpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,,,,,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
8c8877c0-4246-58e7-a279-c1b3f8854929,tg:lhtk:8185_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2UUmWKa9LUJuMYYVfbk2OBT,lhtk,https://dams.antwerpen.be/iiif/M2UUmWKa9LUJuMYYVfbk2OBT/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/M2UUmWKa9LUJuMYYVfbk2OBT,DAMS Image,lh,Iconografie
