ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,source_date,Copyright Revision Date,Copyright Type,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,Transactions
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,tg:lhhs:6303,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:6303,record identifiers,https://data.letterenhuis.be/ark:/24970/096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,object identifier,Handschriften,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,tg:lhhs:6303,e73_AnnotationsImmaterial,1,note.lhalg,"<p><strong>Beschrijving</strong> : Twee gedichten. <em>&quot;Dit is ons huis</em>&quot; : 6 v. x 2 str. <em>&quot;Ik<br />
ken de sleutel niet</em>&quot; : 7 v.</p>
","<p><strong>Beschrijving</strong> : Twee gedichten. <em>&quot;Dit is ons huis</em>&quot; : 6 v. x 2 str. <em>&quot;Ik<br />
ken de sleutel niet</em>&quot; : 7 v.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5dd94c6c-1548-4b85-9b1c-cca74c69ac77"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4cb496fc-9217-4e67-9b3e-8f4d3a5aaacf"", ""inverseOntologyProperty"": """"}]"
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,tg:lhhs:6303,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,tg:lhhs:6303,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poetry,,,,,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,tg:lhhs:6303,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/hs/000006117,referentienummer,False,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhhs:6303,brocade id,False,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhhs:6303/N,brocade url,False,,,,,,,,,,,,,,,,,,
096fa0da-c7c0-50f8-b000-6b5cddfc6e0f,tg:lhhs:6303,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""48fb21e5-e42f-5515-b742-5694fe92fd5e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0f4c2aeb-230f-4625-9bca-b99e4c7aec00"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
