ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,source_date,Copyright Revision Date,Copyright Type,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,Transactions
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:14985,record identifiers,https://data.letterenhuis.be/ark:/24970/a5de00e4-213f-54f8-a623-269ab779af7f,object identifier,Handschriften,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Drukproef D3 <em>De verlossing</em>, zonder correcties. Eenzijdig bedrukt, met de hand in potlood genummerd. Op pagina 185 is <em>De Verlossing</em> doorgehaald met blauwe inkt. Pagina [3]: 'Drukkerij en Binderij van de Wereldbibliotheek'.</p>
","<p>Drukproef D3 <em>De verlossing</em>, zonder correcties. Eenzijdig bedrukt, met de hand in potlood genummerd. Op pagina 185 is <em>De Verlossing</em> doorgehaald met blauwe inkt. Pagina [3]: 'Drukkerij en Binderij van de Wereldbibliotheek'.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2385585c-ac96-4363-ae5c-6d09ac852efa"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e3712743-1e0f-4096-8c77-abd6ab295947"", ""inverseOntologyProperty"": """"}]"
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_Copyrights,,,,,,,,,,,,,,,,,,,1953.0,2068,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verhalend proza,,,,,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/hs/000014290,referentienummer,False,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhhs:14985,brocade id,False,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhhs:14985/N,brocade url,False,,,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a372ff9c-65f7-5a3d-86c7-cc0963737af0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""90b3dd93-9045-4bfd-9901-84a2e56a8220"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De verlossing,titles proper,Dutch (language),,,,,,,,,
a5de00e4-213f-54f8-a623-269ab779af7f,tg:lhhs:14985,e73_Titles,,,au::6306,,,,lh,lhhs,Tekstdrager,e8db4670-cad9-59d6-a330-5a5e4c88b746,au,,au::6306:1,au::6306g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,authors,,"dlod={""suggest"":[""/agents/people/674742"",""au::6306"",""au::6306:1"",""ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746"",""Willem Elsschot"",""ark:/83110/x0/8c81d2b2-a0dd-54b7-b23e-251e90e5b12b""],""name"":""Willem Elsschot"",""ark"":""ark:/83110/x0/8c81d2b2-a0dd-54b7-b23e-251e90e5b12b"",""uri"":""/agents/people/674742"",""id"":""au::6306:1"",""resourceArk"":""ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
