ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:9811_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/62a5910a-0263-58c7-b55d-33fc1bd2e00f,object identifier,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_AcquisitionNumbers,1,,,,168937,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Acquisitions,1,tr:lh:6842,"dlod={""name"":""Archief van Blanka Gyselenprijs"",""ark"":""ark:/24970/x0/59a5686a-7489-58cc-a379-62fea6679553"",""uri"":""/repositories/11/accessions/732097"",""id"":""tr:lh:6842"",""date"":""1991-08-07"",""granter"":""Anna Martens"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/59a5686a-7489-58cc-a379-62fea6679553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Archives,1,,,,,,,,,,,isad:lh:89963,"dlod={""name"":""Handschriften van Nic van Bruggen"",""ark"":""ark:/24970/x0/52a32392-ac1b-5eac-8ded-803bf30da140"",""uri"":""/repositories/11/archival_objects/9626044"",""id"":""isad:lh:89963"",""nameWithContext"":[""Archiefstukken rond uitgaven"",""Handschriften""],""resourceName"":""Archief van Blanka Gyselenprijs"",""resourceArk"":""ark:/24970/x0/3a08e060-7d6f-5fc5-b79c-f25f4dc3c9a2"",""resourceURI"":""/repositories/11/resources/4350623"",""resourceID"":""isad:lh:40660"",""capacity"":""Handschriften van Nic van Bruggen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/52a32392-ac1b-5eac-8ded-803bf30da140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"29,7 x 21 cm",,,,,,,,,,,,,"29,7 x 21 cm - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,297,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,210,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,32,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,32,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a5910a-0263-58c7-b55d-33fc1bd2e00f,tg:lhhs:9811_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:9811_#1,isad:lh:89963,62a5910a-0263-58c7-b55d-33fc1bd2e00f,,168937,B 9078 / H (2),tr:lh:6842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
