ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:19562_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/98251772-15b1-5496-ae3e-6dc5b6401715,object identifier,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_AcquisitionNumbers,1,,,,100562,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Acquisitions,1,tr:lh:5078,"dlod={""name"":""Archief van Achiel Corn"",""ark"":""ark:/24970/x0/c3e01c9b-7de8-55c5-bb17-9c34979ed619"",""uri"":""/repositories/11/accessions/543349"",""id"":""tr:lh:5078"",""date"":""1975-10-30"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/c3e01c9b-7de8-55c5-bb17-9c34979ed619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Archives,1,,,,,,,,,,,isad:lh:162978,"dlod={""name"":""Schriftjes met overgeschreven artikels als documentatie"",""ark"":""ark:/24970/x0/34201ea1-c073-5c63-87e0-aa88b41224e9"",""uri"":""/repositories/11/archival_objects/17438649"",""id"":""isad:lh:162978"",""nameWithContext"":[""Werkstukken"",""Handschriften van Achiel Cornil"",""Beschouwend proza / Non-fictie""],""resourceName"":""Archief van Achiel Cornil"",""resourceArk"":""ark:/24970/x0/217afd0e-08d1-5c06-95f7-261b8f812043"",""resourceURI"":""/repositories/11/resources/192282"",""resourceID"":""isad:lh:1797"",""capacity"":""Schriftjes met overgeschreven artikels als documentatie"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/34201ea1-c073-5c63-87e0-aa88b41224e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"22,2 x 14,7",,,,,,,,,,,,,"22,2 x 14,7 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,222,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,147,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,60,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,120,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98251772-15b1-5496-ae3e-6dc5b6401715,tg:lhhs:19562_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:19562_#1,isad:lh:162978,98251772-15b1-5496-ae3e-6dc5b6401715,,100562,C 3592 / H (25),tr:lh:5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
