ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:295019,https://data.letterenhuis.be/ark:/24970/03681e03-0f55-5d24-bc05-d5a70b200f5b,Brieven,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,2109,In Copyright
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_CreationActors,,,au::221,,,,lhbr,bb8ba31a-8b14-518a-bdf7-3fdd4d12e9cf,bs,,au::221:1,au::221g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/23647"",""au::221"",""au::221:1"",""ark:/83110/x0/bb8ba31a-8b14-518a-bdf7-3fdd4d12e9cf"",""Frank Albers""],""name"":""Frank Albers"",""ark"":""ark:/83110/x0/bb8ba31a-8b14-518a-bdf7-3fdd4d12e9cf"",""uri"":""/agents/people/23647"",""id"":""au::221:1"",""isCapacity"":false}",ark:/83110/x0/bb8ba31a-8b14-518a-bdf7-3fdd4d12e9cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_CreationActors,,,au::4308,,,,lhbr,a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b,co,,au::4308:1,au::4308g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/460956"",""au::4308"",""au::4308:1"",""ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b"",""Herman de Coninck""],""name"":""Herman de Coninck"",""ark"":""ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b"",""uri"":""/agents/people/460956"",""id"":""au::4308:1"",""isCapacity"":false}",ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19940928,,,,,,,,,,,,,,,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1994-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000283440,referentienummer,False,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:295019,brocade id,False,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:295019/N,brocade url,False,,,,,,,,,,,,
03681e03-0f55-5d24-bc05-d5a70b200f5b,tg:lhbr:295019,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ed0206e2-7759-5dc9-b430-797a1e382f23"", ""ontologyProperty"": """", ""resourceXresourceId"": ""422d8235-6760-4e0e-affa-1ecd8028b04a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
