ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:254113,https://data.letterenhuis.be/ark:/24970/072b14fb-0125-508e-8c7c-065e86331af7,Brieven,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,2051,In Copyright
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_CreationActors,,,au::7875,,,,lhbr,68773f83-08fb-5401-911b-29690a8b83c7,bs,,au::7875:1,au::7875g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/842625"",""au::7875"",""au::7875:1"",""ark:/83110/x0/68773f83-08fb-5401-911b-29690a8b83c7"",""Georges Grard""],""name"":""Georges Grard"",""ark"":""ark:/83110/x0/68773f83-08fb-5401-911b-29690a8b83c7"",""uri"":""/agents/people/842625"",""id"":""au::7875:1"",""isCapacity"":false}",ark:/83110/x0/68773f83-08fb-5401-911b-29690a8b83c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_CreationActors,,,au::7526,,,,lhbr,da00885f-dddd-542c-9767-38420a17149f,co,,au::7526:1,au::7526g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/805282"",""au::7526"",""au::7526:1"",""ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f"",""Marnix Gijsen""],""name"":""Marnix Gijsen"",""ark"":""ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f"",""uri"":""/agents/people/805282"",""id"":""au::7526:1"",""isCapacity"":false}",ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19360727,,,,,,,,,,,,,,,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1936-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000242916,referentienummer,False,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:254113,brocade id,False,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:254113/N,brocade url,False,,,,,,,,,,,,
072b14fb-0125-508e-8c7c-065e86331af7,tg:lhbr:254113,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9af64927-eeca-5dc7-852d-b195592b35b7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b2e7025d-af69-49d4-b7c2-dcf13a197e17"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
