ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:168791,https://data.letterenhuis.be/ark:/24970/0a64c810-e989-5f9f-8021-febfb5c35783,Brieven,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.0,1988,No Copyright - Public Domain Mark 1.0
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_CreationActors,,,au::21951,,,,lhbr,ea66f04c-1cac-59f7-b823-b267c2f16f8e,bs,,au::21951:1,au::21951g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/2348757"",""au::21951"",""au::21951:1"",""ark:/83110/x0/ea66f04c-1cac-59f7-b823-b267c2f16f8e"",""Willemsfonds [Gent]""],""name"":""Willemsfonds [Gent]"",""ark"":""ark:/83110/x0/ea66f04c-1cac-59f7-b823-b267c2f16f8e"",""uri"":""/agents/corporate_entities/2348757"",""id"":""au::21951:1"",""isCapacity"":false}",ark:/83110/x0/ea66f04c-1cac-59f7-b823-b267c2f16f8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_CreationActors,,,au::23865,,,,lhbr,bde365cc-29b9-585f-85b2-6abd919cb6de,co,,au::23865:1,au::23865g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/2553555"",""au::23865"",""au::23865:1"",""ark:/83110/x0/bde365cc-29b9-585f-85b2-6abd919cb6de"",""Ministerie van Binnenlandse Zaken""],""name"":""Ministerie van Binnenlandse Zaken"",""ark"":""ark:/83110/x0/bde365cc-29b9-585f-85b2-6abd919cb6de"",""uri"":""/agents/corporate_entities/2553555"",""id"":""au::23865:1"",""isCapacity"":false}",ark:/83110/x0/bde365cc-29b9-585f-85b2-6abd919cb6de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18730908,,,,,,,,,,,,,,,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1873-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000158992,referentienummer,False,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:168791,brocade id,False,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:168791/N,brocade url,False,,,,,,,,,,,,
0a64c810-e989-5f9f-8021-febfb5c35783,tg:lhbr:168791,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b77cf579-5ffe-5b5a-bbda-692634ec3f41"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8bf3a628-5038-498d-8a5b-1075ddc2572b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
