ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:284678,https://data.letterenhuis.be/ark:/24970/1673779e-2617-570a-9821-3222a8a789df,Brieven,,,,,
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925.0,2040,In Copyright
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_CreationActors,,,au::13293,,,,lhbr,441ab0e2-3ae0-56e4-89b7-ca839aae8351,bs,,au::13293:1,au::13293g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/1422351"",""au::13293"",""au::13293:1"",""ark:/83110/x0/441ab0e2-3ae0-56e4-89b7-ca839aae8351"",""Musée de la Vie Wallonne""],""name"":""Musée de la Vie Wallonne"",""ark"":""ark:/83110/x0/441ab0e2-3ae0-56e4-89b7-ca839aae8351"",""uri"":""/agents/corporate_entities/1422351"",""id"":""au::13293:1"",""isCapacity"":false}",ark:/83110/x0/441ab0e2-3ae0-56e4-89b7-ca839aae8351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_CreationActors,,,au::12793,,,,lhbr,c071f9b2-9a04-5d47-97be-b30df90749cb,co,,au::12793:1,au::12793g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1368851"",""au::12793"",""au::12793:1"",""ark:/83110/x0/c071f9b2-9a04-5d47-97be-b30df90749cb"",""Victor de Meyere""],""name"":""Victor de Meyere"",""ark"":""ark:/83110/x0/c071f9b2-9a04-5d47-97be-b30df90749cb"",""uri"":""/agents/people/1368851"",""id"":""au::12793:1"",""isCapacity"":false}",ark:/83110/x0/c071f9b2-9a04-5d47-97be-b30df90749cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19251004,,,,,,,,,,,,,,,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1925-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000273225,referentienummer,False,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:284678,brocade id,False,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:284678/N,brocade url,False,,,,,,,,,,,,
1673779e-2617-570a-9821-3222a8a789df,tg:lhbr:284678,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fdd1bc2b-b66e-5b35-b880-d378f68165ce"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c20c69e0-193c-4024-bab6-c146f1d22e53"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
