ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:82206,https://data.letterenhuis.be/ark:/24970/21c4f892-26bb-5ce6-abe2-21d7070f0111,Brieven,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953.0,2068,In Copyright
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_CreationActors,,,au::10182:::SEV.1,,,,lhbr,a5eaf9e2-df58-517d-824e-f4092d542f5c,bs,,au::10182:1::SEV.1,au::10182g:1::SEV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1089474"",""au::10182"",""au::10182:1"",""ark:/83110/x0/bf529797-f7ec-592b-933e-b2c94b8da2a2"",""Lode van Kerkhoven [Secretaris van IJzerbedevaartcomité]""],""name"":""Lode van Kerkhoven [Secretaris van IJzerbedevaartcomité]"",""ark"":""ark:/83110/x0/bf529797-f7ec-592b-933e-b2c94b8da2a2"",""uri"":""/agents/people/1089474"",""id"":""au::10182:1"",""capacity"":""Secretaris van IJzerbedevaartcomité"",""isCapacity"":true,""relatorRaw"":""au::10182:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/bf529797-f7ec-592b-933e-b2c94b8da2a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_CreationActors,,,au::14849,,,,lhbr,12b830f7-0574-5ef3-b8d0-1bfff2d7fc76,co,,au::14849:1,au::14849g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1588843"",""au::14849"",""au::14849:1"",""ark:/83110/x0/12b830f7-0574-5ef3-b8d0-1bfff2d7fc76"",""Antoon Vander Plaetse""],""name"":""Antoon Vander Plaetse"",""ark"":""ark:/83110/x0/12b830f7-0574-5ef3-b8d0-1bfff2d7fc76"",""uri"":""/agents/people/1588843"",""id"":""au::14849:1"",""isCapacity"":false}",ark:/83110/x0/12b830f7-0574-5ef3-b8d0-1bfff2d7fc76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19530422,,,,,,,,,,,,,,,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1953-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000077294,referentienummer,False,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:82206,brocade id,False,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:82206/N,brocade url,False,,,,,,,,,,,,
21c4f892-26bb-5ce6-abe2-21d7070f0111,tg:lhbr:82206,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6289e22f-8bf4-5eef-bd52-b713f43fc187"", ""ontologyProperty"": """", ""resourceXresourceId"": ""15468f4e-87b8-4211-93af-4a81715d59e0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
