ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:201976,https://data.letterenhuis.be/ark:/24970/21c53696-a3fb-5c3d-b076-280a7ec44b98,Brieven,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,2087,In Copyright
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_CreationActors,,,au::2068,,,,lhbr,cd4f68ff-d244-5041-8488-0666a024e8de,bs,,au::2068:1,au::2068g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/221276"",""au::2068"",""au::2068:1"",""ark:/83110/x0/cd4f68ff-d244-5041-8488-0666a024e8de"",""Roger Bodart""],""name"":""Roger Bodart"",""ark"":""ark:/83110/x0/cd4f68ff-d244-5041-8488-0666a024e8de"",""uri"":""/agents/people/221276"",""id"":""au::2068:1"",""isCapacity"":false}",ark:/83110/x0/cd4f68ff-d244-5041-8488-0666a024e8de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_CreationActors,,,au::13704,,,,lhbr,74bed9d0-2f80-5e96-b769-53b1a649f169,co,,au::13704:1,au::13704g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/1466328"",""au::13704"",""au::13704:1"",""ark:/83110/x0/74bed9d0-2f80-5e96-b769-53b1a649f169"",""Nieuw Vlaams Tijdschrift""],""name"":""Nieuw Vlaams Tijdschrift"",""ark"":""ark:/83110/x0/74bed9d0-2f80-5e96-b769-53b1a649f169"",""uri"":""/agents/corporate_entities/1466328"",""id"":""au::13704:1"",""isCapacity"":false}",ark:/83110/x0/74bed9d0-2f80-5e96-b769-53b1a649f169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19720412,,,,,,,,,,,,,,,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1972-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000191526,referentienummer,False,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:201976,brocade id,False,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:201976/N,brocade url,False,,,,,,,,,,,,
21c53696-a3fb-5c3d-b076-280a7ec44b98,tg:lhbr:201976,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6264f05b-deef-5b62-804d-a7da12c9cfb6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""edfcaed9-866b-45df-b9f4-c3b71243d546"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
