ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:215722,https://data.letterenhuis.be/ark:/24970/283b587d-c0d9-5d32-b1bb-f697c547d033,Brieven,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,2080,In Copyright
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_CreationActors,,,au::12170,,,,lhbr,71f46c5a-fae6-5f70-a6df-be2c10eb52eb,bs,,au::12170:1,au::12170g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/1302190"",""au::12170"",""au::12170:1"",""ark:/83110/x0/71f46c5a-fae6-5f70-a6df-be2c10eb52eb"",""Manteau""],""name"":""Manteau"",""ark"":""ark:/83110/x0/71f46c5a-fae6-5f70-a6df-be2c10eb52eb"",""uri"":""/agents/corporate_entities/1302190"",""id"":""au::12170:1"",""isCapacity"":false}",ark:/83110/x0/71f46c5a-fae6-5f70-a6df-be2c10eb52eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_CreationActors,,,au::32311,,,,lhbr,c78d5631-abf2-546f-84e7-6ec777349320,co,,au::32311:1,au::32311g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/3457277"",""au::32311"",""au::32311:1"",""ark:/83110/x0/c78d5631-abf2-546f-84e7-6ec777349320"",""Drukkerij Erasmus""],""name"":""Drukkerij Erasmus"",""ark"":""ark:/83110/x0/c78d5631-abf2-546f-84e7-6ec777349320"",""uri"":""/agents/corporate_entities/3457277"",""id"":""au::32311:1"",""isCapacity"":false}",ark:/83110/x0/c78d5631-abf2-546f-84e7-6ec777349320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19650901,,,,,,,,,,,,,,,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1965-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000205138,referentienummer,False,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:215722,brocade id,False,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:215722/N,brocade url,False,,,,,,,,,,,,
283b587d-c0d9-5d32-b1bb-f697c547d033,tg:lhbr:215722,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8ffdf75a-0d20-5da3-8b72-8aaeb72e6d0b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5b838604-e961-47e9-b903-81eaf82d1aeb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
