ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:74069,https://data.letterenhuis.be/ark:/24970/28f8b14f-f55c-5d50-a713-9ceb518506d9,Brieven,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.0,2066,In Copyright
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_CreationActors,,,au::9012,,,,lhbr,8f3465da-1203-5191-aae0-2cfe9521aef1,bs,,au::9012:1,au::9012g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/964284"",""au::9012"",""au::9012:1"",""ark:/83110/x0/8f3465da-1203-5191-aae0-2cfe9521aef1"",""Jef van Hoof""],""name"":""Jef van Hoof"",""ark"":""ark:/83110/x0/8f3465da-1203-5191-aae0-2cfe9521aef1"",""uri"":""/agents/people/964284"",""id"":""au::9012:1"",""isCapacity"":false}",ark:/83110/x0/8f3465da-1203-5191-aae0-2cfe9521aef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_CreationActors,,,au::4816,,,,lhbr,2805df01-1540-55cb-8fdc-c2467abc91e4,co,,au::4816:1,au::4816g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/515312"",""au::4816"",""au::4816:1"",""ark:/83110/x0/2805df01-1540-55cb-8fdc-c2467abc91e4"",""Hendrik Daems""],""name"":""Hendrik Daems"",""ark"":""ark:/83110/x0/2805df01-1540-55cb-8fdc-c2467abc91e4"",""uri"":""/agents/people/515312"",""id"":""au::4816:1"",""isCapacity"":false}",ark:/83110/x0/2805df01-1540-55cb-8fdc-c2467abc91e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19510202,,,,,,,,,,,,,,,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1951-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000070889,referentienummer,False,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:74069,brocade id,False,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:74069/N,brocade url,False,,,,,,,,,,,,
28f8b14f-f55c-5d50-a713-9ceb518506d9,tg:lhbr:74069,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fc34d91a-6a13-575b-a5ee-0ff596fa39c4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f387457e-73b0-4ce7-92a8-fee05a42273f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
