ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:100193,https://data.letterenhuis.be/ark:/24970/29b88028-94fd-59f6-86a3-81173540f135,Brieven,,,,,
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2057,In Copyright
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_CreationActors,,,au::36947,,,,lhbr,040e6646-19ff-5a10-9daf-0e9870158af6,bs,,au::36947:1,au::36947g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/3953329"",""au::36947"",""au::36947:1"",""ark:/83110/x0/040e6646-19ff-5a10-9daf-0e9870158af6"",""Militärbefehlshaber in Belgien und Nordfrankreich""],""name"":""Militärbefehlshaber in Belgien und Nordfrankreich"",""ark"":""ark:/83110/x0/040e6646-19ff-5a10-9daf-0e9870158af6"",""uri"":""/agents/corporate_entities/3953329"",""id"":""au::36947:1"",""isCapacity"":false}",ark:/83110/x0/040e6646-19ff-5a10-9daf-0e9870158af6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_CreationActors,,,au::14457:::VZV.1,,,,lhbr,4966766a-08b4-5717-9451-58982355616e,co,,au::14457:1::VZV.1,au::14457g:1::VZV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1546899"",""au::14457"",""au::14457:1"",""ark:/83110/x0/e410c9fe-dfdf-578b-8f70-ad257df26bc6"",""Herman Pauwels [Voorzitter van Gentsch Studentenverbond]""],""name"":""Herman Pauwels [Voorzitter van Gentsch Studentenverbond]"",""ark"":""ark:/83110/x0/e410c9fe-dfdf-578b-8f70-ad257df26bc6"",""uri"":""/agents/people/1546899"",""id"":""au::14457:1"",""capacity"":""Voorzitter van Gentsch Studentenverbond"",""isCapacity"":true,""relatorRaw"":""au::14457:1::VZV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e410c9fe-dfdf-578b-8f70-ad257df26bc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19421111,,,,,,,,,,,,,,,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1942-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000094079,referentienummer,False,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:100193,brocade id,False,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:100193/N,brocade url,False,,,,,,,,,,,,
29b88028-94fd-59f6-86a3-81173540f135,tg:lhbr:100193,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b4f018db-f44c-5d75-b376-d1240ed9539a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""39be4a95-ccae-415b-a3cc-b8bfee3c8049"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
