ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:116055,https://data.letterenhuis.be/ark:/24970/37dd9551-1367-566c-99a0-c5d86847bb95,Brieven,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978.0,2093,In Copyright
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_CreationActors,,,au::14793,,,,lhbr,caff53e4-7fb9-5f2c-b1ce-9040c925d8c0,bs,,au::14793:1,au::14793g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1582851"",""au::14793"",""au::14793:1"",""ark:/83110/x0/caff53e4-7fb9-5f2c-b1ce-9040c925d8c0"",""Geert Pijnenburg""],""name"":""Geert Pijnenburg"",""ark"":""ark:/83110/x0/caff53e4-7fb9-5f2c-b1ce-9040c925d8c0"",""uri"":""/agents/people/1582851"",""id"":""au::14793:1"",""isCapacity"":false}",ark:/83110/x0/caff53e4-7fb9-5f2c-b1ce-9040c925d8c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_CreationActors,,,au::20646,,,,lhbr,f1bdb2f0-9df9-51db-9477-c4d3b8108cf0,co,,au::20646:1,au::20646g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/2209122"",""au::20646"",""au::20646:1"",""ark:/83110/x0/f1bdb2f0-9df9-51db-9477-c4d3b8108cf0"",""Vooruit [Dagblad]""],""name"":""Vooruit [Dagblad]"",""ark"":""ark:/83110/x0/f1bdb2f0-9df9-51db-9477-c4d3b8108cf0"",""uri"":""/agents/corporate_entities/2209122"",""id"":""au::20646:1"",""isCapacity"":false}",ark:/83110/x0/f1bdb2f0-9df9-51db-9477-c4d3b8108cf0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19781024,,,,,,,,,,,,,,,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1978-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000109253,referentienummer,False,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:116055,brocade id,False,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:116055/N,brocade url,False,,,,,,,,,,,,
37dd9551-1367-566c-99a0-c5d86847bb95,tg:lhbr:116055,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""03f97e96-d71e-537d-94b7-86eae826e7fa"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ae372128-37fa-45fe-bce7-f24768be28dc"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
