ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:158439,https://data.letterenhuis.be/ark:/24970/3e35484d-5a7c-564d-adab-e64d585d31c8,Brieven,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929.0,2044,In Copyright
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_CreationActors,,,au::21036,,,,lhbr,89ec3c62-5ce1-500e-ad3e-710f4b9570d2,bs,,au::21036:1,au::21036g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2250852"",""au::21036"",""au::21036:1"",""ark:/83110/x0/89ec3c62-5ce1-500e-ad3e-710f4b9570d2"",""Jan Wannijn""],""name"":""Jan Wannijn"",""ark"":""ark:/83110/x0/89ec3c62-5ce1-500e-ad3e-710f4b9570d2"",""uri"":""/agents/people/2250852"",""id"":""au::21036:1"",""isCapacity"":false}",ark:/83110/x0/89ec3c62-5ce1-500e-ad3e-710f4b9570d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_CreationActors,,,au::16450,,,,lhbr,ac598f88-ce58-55e9-a50c-4da3e3953e56,co,,au::16450:1,au::16450g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1760150"",""au::16450"",""au::16450:1"",""ark:/83110/x0/ac598f88-ce58-55e9-a50c-4da3e3953e56"",""Lodewijk Scharpé""],""name"":""Lodewijk Scharpé"",""ark"":""ark:/83110/x0/ac598f88-ce58-55e9-a50c-4da3e3953e56"",""uri"":""/agents/people/1760150"",""id"":""au::16450:1"",""isCapacity"":false}",ark:/83110/x0/ac598f88-ce58-55e9-a50c-4da3e3953e56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19290621,,,,,,,,,,,,,,,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1929-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000149568,referentienummer,False,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:158439,brocade id,False,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:158439/N,brocade url,False,,,,,,,,,,,,
3e35484d-5a7c-564d-adab-e64d585d31c8,tg:lhbr:158439,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fc67b0e8-27e5-5a24-830f-4fe8e87cee8d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f7b0a6a7-1d01-42f8-8a64-fe66f2864d56"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
