ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:139706,https://data.letterenhuis.be/ark:/24970/41d28964-e873-54af-887b-5f4c5881cd38,Brieven,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928.0,2043,In Copyright
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_CreationActors,,,au::41459,,,,lhbr,ac3bc257-adde-57be-841f-e16df650ac61,bs,,au::41459:1,au::41459g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4436113"",""au::41459"",""au::41459:1"",""ark:/83110/x0/ac3bc257-adde-57be-841f-e16df650ac61"",""J.A.W. Swane""],""name"":""J.A.W. Swane"",""ark"":""ark:/83110/x0/ac3bc257-adde-57be-841f-e16df650ac61"",""uri"":""/agents/people/4436113"",""id"":""au::41459:1"",""isCapacity"":false}",ark:/83110/x0/ac3bc257-adde-57be-841f-e16df650ac61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_CreationActors,,,au::17135:::DIV.1,,,,lhbr,c86240ae-cc7f-5605-b400-7ec1c97da557,co,,au::17135:1::DIV.1,au::17135g:1::DIV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1833445"",""au::17135"",""au::17135:1"",""ark:/83110/x0/c75a3720-5257-5040-9e72-3c4220196786"",""Robrecht de Smet [Directeur van Vlaanderen]""],""name"":""Robrecht de Smet [Directeur van Vlaanderen]"",""ark"":""ark:/83110/x0/c75a3720-5257-5040-9e72-3c4220196786"",""uri"":""/agents/people/1833445"",""id"":""au::17135:1"",""capacity"":""Directeur van Vlaanderen"",""isCapacity"":true,""relatorRaw"":""au::17135:1::DIV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c75a3720-5257-5040-9e72-3c4220196786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19281212,,,,,,,,,,,,,,,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1928-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000131592,referentienummer,False,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:139706,brocade id,False,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:139706/N,brocade url,False,,,,,,,,,,,,
41d28964-e873-54af-887b-5f4c5881cd38,tg:lhbr:139706,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""48860a4c-8970-528a-a5b8-ce9fd36cbbfb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""688733f9-e315-4c3a-9cec-1abb338159f0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
