ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:6243,https://data.letterenhuis.be/ark:/24970/48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,Brieven,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934.0,2049,In Copyright
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_CreationActors,,,au::930,,,,lhbr,278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,bs,,au::930:1,au::930g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/99510"",""au::930"",""au::930:1"",""ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b"",""Lode Baekelmans""],""name"":""Lode Baekelmans"",""ark"":""ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b"",""uri"":""/agents/people/99510"",""id"":""au::930:1"",""isCapacity"":false}",ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_CreationActors,,,au::23163,,,,lhbr,86c5d2fb-4a83-5bbe-8929-551f5aa6ee77,co,,au::23163:1,au::23163g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/2478441"",""au::23163"",""au::23163:1"",""ark:/83110/x0/86c5d2fb-4a83-5bbe-8929-551f5aa6ee77"",""Utrechtsch Nieuwsblad [Dagblad]""],""name"":""Utrechtsch Nieuwsblad [Dagblad]"",""ark"":""ark:/83110/x0/86c5d2fb-4a83-5bbe-8929-551f5aa6ee77"",""uri"":""/agents/corporate_entities/2478441"",""id"":""au::23163:1"",""isCapacity"":false}",ark:/83110/x0/86c5d2fb-4a83-5bbe-8929-551f5aa6ee77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19340918,,,,,,,,,,,,,,,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1934-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000005940,referentienummer,False,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:6243,brocade id,False,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:6243/N,brocade url,False,,,,,,,,,,,,
48d4404b-c64e-5e82-a1b5-6c82c3c6c6e2,tg:lhbr:6243,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2c8757a8-ed7e-581e-b349-d6bf11edbd57"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20793713-c3a8-47af-9872-973f72294b8d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
