ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:49880,https://data.letterenhuis.be/ark:/24970/4e7d8a72-38a8-53d0-8830-10177e03c28f,Brieven,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.0,2019,No Known Copyright
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,e73_CreationActors,,,au::6197,,,,lhbr,32871d34-8676-5335-a486-a361b9025683,bs,,au::6197:1,au::6197g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/663079"",""au::6197"",""au::6197:1"",""ark:/83110/x0/32871d34-8676-5335-a486-a361b9025683"",""Georges Eekhoud""],""name"":""Georges Eekhoud"",""ark"":""ark:/83110/x0/32871d34-8676-5335-a486-a361b9025683"",""uri"":""/agents/people/663079"",""id"":""au::6197:1"",""isCapacity"":false}",ark:/83110/x0/32871d34-8676-5335-a486-a361b9025683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19040106,,,,,,,,,,,,,,,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1904-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000048039,referentienummer,False,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:49880,brocade id,False,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:49880/N,brocade url,False,,,,,,,,,,,,
4e7d8a72-38a8-53d0-8830-10177e03c28f,tg:lhbr:49880,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a5f54a6b-0b96-545b-816e-38df9f590636"", ""ontologyProperty"": """", ""resourceXresourceId"": ""151d3169-d1d0-443e-986e-c84b8417c1ad"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
