ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:43259,https://data.letterenhuis.be/ark:/24970/57c7d0c0-6304-5e2e-9789-f91f699b52e1,Brieven,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.0,2071,In Copyright
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_CreationActors,,,au::5193,,,,lhbr,44ccc7c3-1ff2-51fc-b9eb-eff787b82f68,bs,,au::5193:1,au::5193g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/555651"",""au::5193"",""au::5193:1"",""ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68"",""Ary J.J. Delen""],""name"":""Ary J.J. Delen"",""ark"":""ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68"",""uri"":""/agents/people/555651"",""id"":""au::5193:1"",""isCapacity"":false}",ark:/83110/x0/44ccc7c3-1ff2-51fc-b9eb-eff787b82f68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_CreationActors,,,au::12145,,,,lhbr,6a035313-5159-5891-8cef-6b598e415ed6,co,,au::12145:1,au::12145g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1299515"",""au::12145"",""au::12145:1"",""ark:/83110/x0/6a035313-5159-5891-8cef-6b598e415ed6"",""Yvonne de Man""],""name"":""Yvonne de Man"",""ark"":""ark:/83110/x0/6a035313-5159-5891-8cef-6b598e415ed6"",""uri"":""/agents/people/1299515"",""id"":""au::12145:1"",""isCapacity"":false}",ark:/83110/x0/6a035313-5159-5891-8cef-6b598e415ed6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19561217,,,,,,,,,,,,,,,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1956-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000041697,referentienummer,False,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:43259,brocade id,False,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:43259/N,brocade url,False,,,,,,,,,,,,
57c7d0c0-6304-5e2e-9789-f91f699b52e1,tg:lhbr:43259,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7a567798-81e8-521d-aa90-804701fc80d3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""29ddbfeb-0afc-40dc-acf0-a4194a7ecfde"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
