ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:140455,https://data.letterenhuis.be/ark:/24970/592884ee-276c-536a-b1e6-e85309aee1d2,Brieven,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,2076,In Copyright
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_CreationActors,,,au::41494,,,,lhbr,86c0cb87-2580-5486-878a-f19dc64fc55d,bs,,au::41494:1,au::41494g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4439858"",""au::41494"",""au::41494:1"",""ark:/83110/x0/86c0cb87-2580-5486-878a-f19dc64fc55d"",""Judith Szanto""],""name"":""Judith Szanto"",""ark"":""ark:/83110/x0/86c0cb87-2580-5486-878a-f19dc64fc55d"",""uri"":""/agents/people/4439858"",""id"":""au::41494:1"",""isCapacity"":false}",ark:/83110/x0/86c0cb87-2580-5486-878a-f19dc64fc55d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_CreationActors,,,au::3063,,,,lhbr,f5fa4e81-d4f9-5e6e-80d2-287d6a8951b1,co,,au::3063:1,au::3063g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/327741"",""au::3063"",""au::3063:1"",""ark:/83110/x0/f5fa4e81-d4f9-5e6e-80d2-287d6a8951b1"",""Tone Brulin""],""name"":""Tone Brulin"",""ark"":""ark:/83110/x0/f5fa4e81-d4f9-5e6e-80d2-287d6a8951b1"",""uri"":""/agents/people/327741"",""id"":""au::3063:1"",""isCapacity"":false}",ark:/83110/x0/f5fa4e81-d4f9-5e6e-80d2-287d6a8951b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19610801,,,,,,,,,,,,,,,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1961-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000132340,referentienummer,False,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:140455,brocade id,False,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:140455/N,brocade url,False,,,,,,,,,,,,
592884ee-276c-536a-b1e6-e85309aee1d2,tg:lhbr:140455,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""41051839-1ab7-5870-8d97-9fcb6a946e8a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d531d6f4-150a-44d5-8de9-ab31ccf36189"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
