ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:242342,https://data.letterenhuis.be/ark:/24970/619085f6-9d4a-5dd3-a9f4-81146f6a234d,Brieven,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2057,In Copyright
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_CreationActors,,,au::6783,,,,lhbr,61b24a48-2e17-53ba-a739-3946a12d345f,bs,,au::6783:1,au::6783g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/725781"",""au::6783"",""au::6783:1"",""ark:/83110/x0/61b24a48-2e17-53ba-a739-3946a12d345f"",""Jeanne Flament""],""name"":""Jeanne Flament"",""ark"":""ark:/83110/x0/61b24a48-2e17-53ba-a739-3946a12d345f"",""uri"":""/agents/people/725781"",""id"":""au::6783:1"",""isCapacity"":false}",ark:/83110/x0/61b24a48-2e17-53ba-a739-3946a12d345f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_CreationActors,,,au::4481,,,,lhbr,9f9ad815-9323-5752-9705-37c2d793dd73,co,,au::4481:1,au::4481g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/479467"",""au::4481"",""au::4481:1"",""ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73"",""Arthur Henry Cornette""],""name"":""Arthur Henry Cornette"",""ark"":""ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73"",""uri"":""/agents/people/479467"",""id"":""au::4481:1"",""isCapacity"":false}",ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19421202,,,,,,,,,,,,,,,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1942-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000231333,referentienummer,False,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:242342,brocade id,False,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:242342/N,brocade url,False,,,,,,,,,,,,
619085f6-9d4a-5dd3-a9f4-81146f6a234d,tg:lhbr:242342,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f4f6eec5-2e8c-5c57-9049-8d88146fac90"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fdd8910f-beaf-4432-8f8e-b7aad48905df"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
