ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:111519,https://data.letterenhuis.be/ark:/24970/61c9ef10-d1be-5468-82a8-fa0fc841163d,Brieven,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.0,2061,In Copyright
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,e73_CreationActors,,,au::38679,,,,lhbr,1857c6aa-1208-57f4-8ee3-17e96a4b2e69,bs,,au::38679:1,au::38679g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4138653"",""au::38679"",""au::38679:1"",""ark:/83110/x0/1857c6aa-1208-57f4-8ee3-17e96a4b2e69"",""Léonie Osterrieth""],""name"":""Léonie Osterrieth"",""ark"":""ark:/83110/x0/1857c6aa-1208-57f4-8ee3-17e96a4b2e69"",""uri"":""/agents/people/4138653"",""id"":""au::38679:1"",""isCapacity"":false}",ark:/83110/x0/1857c6aa-1208-57f4-8ee3-17e96a4b2e69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,e73_CreationActors,,,au::8643:::SEV.1,,,,lhbr,ddb46110-862a-5178-8f3e-af8f92d8d4d7,co,,au::8643:1::SEV.1,au::8643g:1::SEV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/924801"",""au::8643"",""au::8643:1"",""ark:/83110/x0/43f7b443-abcd-512a-9b86-2db354006ef1"",""Frans Hens [Secretaris van Cercle Les XIII]""],""name"":""Frans Hens [Secretaris van Cercle Les XIII]"",""ark"":""ark:/83110/x0/43f7b443-abcd-512a-9b86-2db354006ef1"",""uri"":""/agents/people/924801"",""id"":""au::8643:1"",""capacity"":""Secretaris van Cercle Les XIII"",""isCapacity"":true,""relatorRaw"":""au::8643:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/43f7b443-abcd-512a-9b86-2db354006ef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,zonder datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000105008,referentienummer,False,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:111519,brocade id,False,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:111519/N,brocade url,False,,,,,,,,,,,,
61c9ef10-d1be-5468-82a8-fa0fc841163d,tg:lhbr:111519,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""64303b1b-3496-5aef-a336-fcfe7d12584b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0450d1a9-ef6e-4465-94ea-2707c1886759"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
