ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:153609,https://data.letterenhuis.be/ark:/24970/6fec85f9-7e1a-5620-b1a2-6b390322437f,Brieven,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,2080,In Copyright
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_CreationActors,,,au::19914,,,,lhbr,115cf284-9d8a-5ef3-ba5f-fbe9226c1114,bs,,au::19914:1,au::19914g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2130798"",""au::19914"",""au::19914:1"",""ark:/83110/x0/115cf284-9d8a-5ef3-ba5f-fbe9226c1114"",""Simon Vestdijk""],""name"":""Simon Vestdijk"",""ark"":""ark:/83110/x0/115cf284-9d8a-5ef3-ba5f-fbe9226c1114"",""uri"":""/agents/people/2130798"",""id"":""au::19914:1"",""isCapacity"":false}",ark:/83110/x0/115cf284-9d8a-5ef3-ba5f-fbe9226c1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_CreationActors,,,au::38080,,,,lhbr,5eca3446-8d8d-538d-9710-90b8d8413767,co,,au::38080:1,au::38080g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/4074560"",""au::38080"",""au::38080:1"",""ark:/83110/x0/5eca3446-8d8d-538d-9710-90b8d8413767"",""J. Ferntree""],""name"":""J. Ferntree"",""ark"":""ark:/83110/x0/5eca3446-8d8d-538d-9710-90b8d8413767"",""uri"":""/agents/people/4074560"",""id"":""au::38080:1"",""isCapacity"":false}",ark:/83110/x0/5eca3446-8d8d-538d-9710-90b8d8413767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19650305,,,,,,,,,,,,,,,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1965-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000144919,referentienummer,False,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:153609,brocade id,False,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:153609/N,brocade url,False,,,,,,,,,,,,
6fec85f9-7e1a-5620-b1a2-6b390322437f,tg:lhbr:153609,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e9ee8a99-6455-5aa2-acb6-fbdca39540e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""523c0ca2-244e-4d0b-bd2e-c45dfaed8362"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
