ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:141442,https://data.letterenhuis.be/ark:/24970/7c17da8a-9a23-5cf7-98ac-252b5cbf125d,Brieven,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,2076,In Copyright
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_CreationActors,,,au::18279,,,,lhbr,33fc97f8-dce5-5708-8cdb-d97e1a66778b,bs,,au::18279:1,au::18279g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1955853"",""au::18279"",""au::18279:1"",""ark:/83110/x0/33fc97f8-dce5-5708-8cdb-d97e1a66778b"",""Jan Theuwissen""],""name"":""Jan Theuwissen"",""ark"":""ark:/83110/x0/33fc97f8-dce5-5708-8cdb-d97e1a66778b"",""uri"":""/agents/people/1955853"",""id"":""au::18279:1"",""isCapacity"":false}",ark:/83110/x0/33fc97f8-dce5-5708-8cdb-d97e1a66778b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_CreationActors,,,au::14552,,,,lhbr,2aff8e7f-a476-57e8-9952-589172ff81dd,co,,au::14552:1,au::14552g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1557064"",""au::14552"",""au::14552:1"",""ark:/83110/x0/2aff8e7f-a476-57e8-9952-589172ff81dd"",""Karel Constant Peeters""],""name"":""Karel Constant Peeters"",""ark"":""ark:/83110/x0/2aff8e7f-a476-57e8-9952-589172ff81dd"",""uri"":""/agents/people/1557064"",""id"":""au::14552:1"",""isCapacity"":false}",ark:/83110/x0/2aff8e7f-a476-57e8-9952-589172ff81dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19610703,,,,,,,,,,,,,,,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1961-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000133258,referentienummer,False,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:141442,brocade id,False,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:141442/N,brocade url,False,,,,,,,,,,,,
7c17da8a-9a23-5cf7-98ac-252b5cbf125d,tg:lhbr:141442,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""754d3baf-3179-5724-92eb-3304b1ae9e9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e1278ff-0249-4fb3-815b-7af54171bdf7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
