ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:94953,https://data.letterenhuis.be/ark:/24970/7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,Brieven,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.0,2042,In Copyright
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_CreationActors,,,au::36473:::LIV.1,,,,lhbr,b91573aa-ed79-5645-9b8a-f7148e8651eb,bs,,au::36473:1::LIV.1,au::36473g:1::LIV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3902611"",""au::36473"",""au::36473:1"",""ark:/83110/x0/8c9ffee4-6b30-535a-9fdd-328e061857e1"",""Joseph Malaise [Lid van Saint Ignatius College [San Francisco (USA)]]""],""name"":""Joseph Malaise [Lid van Saint Ignatius College [San Francisco (USA)]]"",""ark"":""ark:/83110/x0/8c9ffee4-6b30-535a-9fdd-328e061857e1"",""uri"":""/agents/people/3902611"",""id"":""au::36473:1"",""capacity"":""Lid van Saint Ignatius College [San Francisco (USA)]"",""isCapacity"":true,""relatorRaw"":""au::36473:1::LIV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8c9ffee4-6b30-535a-9fdd-328e061857e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_CreationActors,,,au::20378,,,,lhbr,f54dc9f6-0a53-5c69-b29a-70f47fd9f916,co,,au::20378:1,au::20378g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/2180446"",""au::20378"",""au::20378:1"",""ark:/83110/x0/f54dc9f6-0a53-5c69-b29a-70f47fd9f916"",""Vlaanderen""],""name"":""Vlaanderen"",""ark"":""ark:/83110/x0/f54dc9f6-0a53-5c69-b29a-70f47fd9f916"",""uri"":""/agents/corporate_entities/2180446"",""id"":""au::20378:1"",""isCapacity"":false}",ark:/83110/x0/f54dc9f6-0a53-5c69-b29a-70f47fd9f916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19270000,,,,,,,,,,,,,,,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1927,,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000089079,referentienummer,False,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:94953,brocade id,False,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:94953/N,brocade url,False,,,,,,,,,,,,
7c65ea15-a6fc-57bc-b6b1-31fe4a271f2a,tg:lhbr:94953,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""bd38ea49-e70f-5b78-bc00-b997242e3ffd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fc490638-4f06-4d6c-89af-e8bd8bf4b3e0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
