ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:127227,https://data.letterenhuis.be/ark:/24970/7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,Brieven,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,2065,In Copyright
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_CreationActors,,,au::16172:::SEV.2,,,,lhbr,e00fe219-0501-5a78-bc70-3e374e9a7f9f,bs,,au::16172:1::SEV.2,au::16172g:1::SEV.2,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1730404"",""au::16172"",""au::16172:1"",""ark:/83110/x0/f031ec7d-17fa-5eaf-b186-e8a27bfafc73"",""Theo de Ruijter [Secretaris van Antwerpen (Vlaanderen)]""],""name"":""Theo de Ruijter [Secretaris van Antwerpen (Vlaanderen)]"",""ark"":""ark:/83110/x0/f031ec7d-17fa-5eaf-b186-e8a27bfafc73"",""uri"":""/agents/people/1730404"",""id"":""au::16172:1"",""capacity"":""Secretaris van Antwerpen (Vlaanderen)"",""isCapacity"":true,""relatorRaw"":""au::16172:1::SEV.2"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f031ec7d-17fa-5eaf-b186-e8a27bfafc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_CreationActors,,,au::12192,,,,lhbr,94962513-5676-5a9b-88cd-8ea9742a5fe1,co,,au::12192:1,au::12192g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1304544"",""au::12192"",""au::12192:1"",""ark:/83110/x0/94962513-5676-5a9b-88cd-8ea9742a5fe1"",""Leen van Marcke""],""name"":""Leen van Marcke"",""ark"":""ark:/83110/x0/94962513-5676-5a9b-88cd-8ea9742a5fe1"",""uri"":""/agents/people/1304544"",""id"":""au::12192:1"",""isCapacity"":false}",ark:/83110/x0/94962513-5676-5a9b-88cd-8ea9742a5fe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500923,,,,,,,,,,,,,,,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1950-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000119726,referentienummer,False,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:127227,brocade id,False,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:127227/N,brocade url,False,,,,,,,,,,,,
7e5aa0d5-3cfd-5500-9aea-012aa72a0a41,tg:lhbr:127227,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b2500512-5a06-5b7f-81b0-009fdcc006a1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ba25b7cf-7c36-4b4d-b36d-293eab3168c0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
