ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:230281,https://data.letterenhuis.be/ark:/24970/8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,Brieven,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Briefwisseling m.b.t. publicatie <em>La Sculpture de ce Siècle-Dictionnaire de la<br />
Sculpture Moderne.</em></p>
<p>Documentatie bijgevoegd.</p>
","<p>Briefwisseling m.b.t. publicatie <em>La Sculpture de ce Siècle-Dictionnaire de la<br />
Sculpture Moderne.</em></p>
<p>Documentatie bijgevoegd.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,2073,In Copyright
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_CreationActors,,,au::16864,,,,lhbr,ec088980-6865-51bc-953c-71bb468e9977,bs,,au::16864:1,au::16864g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1804448"",""au::16864"",""au::16864:1"",""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""Michel Seuphor""],""name"":""Michel Seuphor"",""ark"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""uri"":""/agents/people/1804448"",""id"":""au::16864:1"",""isCapacity"":false}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_CreationActors,,,au::38757:::MWV.1,,,,lhbr,06d0e4a4-40b8-53e3-af44-8995d62838e3,co,,au::38757:1::MWV.1,au::38757g:1::MWV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/4146999"",""au::38757"",""au::38757:1"",""ark:/83110/x0/96ec2f46-fd98-5333-a9b4-50148888984b"",""René Pandelaers [Medewerker van Openluchtmuseum der Beeldhouwkunst Middelheim]""],""name"":""René Pandelaers [Medewerker van Openluchtmuseum der Beeldhouwkunst Middelheim]"",""ark"":""ark:/83110/x0/96ec2f46-fd98-5333-a9b4-50148888984b"",""uri"":""/agents/people/4146999"",""id"":""au::38757:1"",""capacity"":""Medewerker van Openluchtmuseum der Beeldhouwkunst Middelheim"",""isCapacity"":true,""relatorRaw"":""au::38757:1::MWV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/96ec2f46-fd98-5333-a9b4-50148888984b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19580810,,,,,,,,,,,,,,,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1958-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,tg:lhbr:230281,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000219518,referentienummer,False,,,,,,,,,,,,
8668c9b9-cc6d-5cb9-a5f7-b2cd2fb64913,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:230281,brocade id,False,,,,,,,,,,,,
