ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:169587,https://data.letterenhuis.be/ark:/24970/8d7f3107-25ff-5ef4-95fa-b9cb294059cd,Brieven,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_AnnotationsImmaterial,1,note.lhalg,"<p>doodsprentje</p>
","<p>doodsprentje</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,2079,In Copyright
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_CreationActors,,,au::7995,,,,lhbr,102388b5-de7b-529b-98fe-5f2b170f817f,bs,,au::7995:1,au::7995g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/855465"",""au::7995"",""au::7995:1"",""ark:/83110/x0/102388b5-de7b-529b-98fe-5f2b170f817f"",""Juliette de Groodt-Adant""],""name"":""Juliette de Groodt-Adant"",""ark"":""ark:/83110/x0/102388b5-de7b-529b-98fe-5f2b170f817f"",""uri"":""/agents/people/855465"",""id"":""au::7995:1"",""isCapacity"":false}",ark:/83110/x0/102388b5-de7b-529b-98fe-5f2b170f817f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_CreationActors,,,au::7555,,,,lhbr,c526cbe4-717b-5c2c-9bfe-491f98d553c0,co,,au::7555:1,au::7555g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/808385"",""au::7555"",""au::7555:1"",""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""Maurice Gilliams""],""name"":""Maurice Gilliams"",""ark"":""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""uri"":""/agents/people/808385"",""id"":""au::7555:1"",""isCapacity"":false}",ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19640700,,,,,,,,,,,,,,,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1964-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000159733,referentienummer,False,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:169587,brocade id,False,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:169587/N,brocade url,False,,,,,,,,,,,,
8d7f3107-25ff-5ef4-95fa-b9cb294059cd,tg:lhbr:169587,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f31cf08c-a7bb-522c-8f45-511202a54cc6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""27f12f3a-55e2-4444-bd19-e25eabc7d41a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
