ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:34558,https://data.letterenhuis.be/ark:/24970/8e832161-371b-51d5-8414-5bf26a68fe61,Brieven,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1915,No Copyright - Public Domain Mark 1.0
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_CreationActors,,,au::4333,,,,lhbr,ebd00cc4-2119-5474-b6ef-42b56014bfd9,bs,,au::4333:1,au::4333g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/463631"",""au::4333"",""au::4333:1"",""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""Hendrik Conscience""],""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""uri"":""/agents/people/463631"",""id"":""au::4333:1"",""isCapacity"":false}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_CreationActors,,,au::5609,,,,lhbr,9be3bff2-3fb2-5e06-b7ea-0f6490050d4c,co,,au::5609:1,au::5609g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/600163"",""au::5609"",""au::5609:1"",""ark:/83110/x0/9be3bff2-3fb2-5e06-b7ea-0f6490050d4c"",""Melchior von Diepenbrock""],""name"":""Melchior von Diepenbrock"",""ark"":""ark:/83110/x0/9be3bff2-3fb2-5e06-b7ea-0f6490050d4c"",""uri"":""/agents/people/600163"",""id"":""au::5609:1"",""isCapacity"":false}",ark:/83110/x0/9be3bff2-3fb2-5e06-b7ea-0f6490050d4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000301,,,,,,,,,,,,,,,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,18uu-03-01,,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000033339,referentienummer,False,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:34558,brocade id,False,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:34558/N,brocade url,False,,,,,,,,,,,,
8e832161-371b-51d5-8414-5bf26a68fe61,tg:lhbr:34558,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0be6f7da-ca3b-51fb-95e7-cd005c3d213f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0b84c17-87a9-4391-8133-9897ead4b54c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
