ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:2169,https://data.letterenhuis.be/ark:/24970/92a64d52-23e7-5758-82d5-3afcf3336818,Brieven,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_AnnotationsImmaterial,1,note.lhalg,"<p>B: Kontract</p>
","<p>B: Kontract</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,2048,In Copyright
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_CreationActors,,,au::409:::DIV.1,,,,lhbr,5f3ca0ba-e851-58eb-b3b6-2f9a00844b38,bs,,au::409:1::DIV.1,au::409g:1::DIV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/43763"",""au::409"",""au::409:1"",""ark:/83110/x0/62cae5c4-2af1-5f1c-9886-f5bf7d8a9ce9"",""Edward Amter [Directeur van Die Poorte]""],""name"":""Edward Amter [Directeur van Die Poorte]"",""ark"":""ark:/83110/x0/62cae5c4-2af1-5f1c-9886-f5bf7d8a9ce9"",""uri"":""/agents/people/43763"",""id"":""au::409:1"",""capacity"":""Directeur van Die Poorte"",""isCapacity"":true,""relatorRaw"":""au::409:1::DIV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/62cae5c4-2af1-5f1c-9886-f5bf7d8a9ce9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_CreationActors,,,au::930,,,,lhbr,278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,co,,au::930:1,au::930g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/99510"",""au::930"",""au::930:1"",""ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b"",""Lode Baekelmans""],""name"":""Lode Baekelmans"",""ark"":""ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b"",""uri"":""/agents/people/99510"",""id"":""au::930:1"",""isCapacity"":false}",ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19331127,,,,,,,,,,,,,,,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1933-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000002023,referentienummer,False,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:2169,brocade id,False,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:2169/N,brocade url,False,,,,,,,,,,,,
92a64d52-23e7-5758-82d5-3afcf3336818,tg:lhbr:2169,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""85937461-9fcd-533e-a0b6-757338d4a26d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""84832318-1901-4d56-96ae-fe37bf2c67ce"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
