ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:301791,https://data.letterenhuis.be/ark:/24970/9bc67c51-be2d-570a-8552-8c96614733a4,Brieven,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.0,2071,In Copyright
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_CreationActors,,,au::18948,,,,lhbr,7d0bcbc9-d3f0-55da-950b-a751b48feb90,bs,,au::18948:1,au::18948g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2027436"",""au::18948"",""au::18948:1"",""ark:/83110/x0/7d0bcbc9-d3f0-55da-950b-a751b48feb90"",""Armand Vanderlick""],""name"":""Armand Vanderlick"",""ark"":""ark:/83110/x0/7d0bcbc9-d3f0-55da-950b-a751b48feb90"",""uri"":""/agents/people/2027436"",""id"":""au::18948:1"",""isCapacity"":false}",ark:/83110/x0/7d0bcbc9-d3f0-55da-950b-a751b48feb90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_CreationActors,,,au::1886,,,,lhbr,4f208ca3-c5f4-525d-9bb8-91413bad1874,co,,au::1886:1,au::1886g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/201802"",""au::1886"",""au::1886:1"",""ark:/83110/x0/4f208ca3-c5f4-525d-9bb8-91413bad1874"",""Maurits Bilcke""],""name"":""Maurits Bilcke"",""ark"":""ark:/83110/x0/4f208ca3-c5f4-525d-9bb8-91413bad1874"",""uri"":""/agents/people/201802"",""id"":""au::1886:1"",""isCapacity"":false}",ark:/83110/x0/4f208ca3-c5f4-525d-9bb8-91413bad1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19560114,,,,,,,,,,,,,,,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1956-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000290186,referentienummer,False,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:301791,brocade id,False,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:301791/N,brocade url,False,,,,,,,,,,,,
9bc67c51-be2d-570a-8552-8c96614733a4,tg:lhbr:301791,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""91304a96-21e5-5c36-b699-53db6c6efef8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""836a7ce2-3dba-4044-a44d-9fdcd945e27f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
