ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:165657,https://data.letterenhuis.be/ark:/24970/9fee0af2-6140-57d0-91e6-22213b4282a5,Brieven,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,2081,In Copyright
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_CreationActors,,,au::6755,,,,lhbr,8d8deaee-666d-53ad-b4cf-cf2486811788,bs,,au::6755:1,au::6755g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/722785"",""au::6755"",""au::6755:1"",""ark:/83110/x0/8d8deaee-666d-53ad-b4cf-cf2486811788"",""Film""],""name"":""Film"",""ark"":""ark:/83110/x0/8d8deaee-666d-53ad-b4cf-cf2486811788"",""uri"":""/agents/corporate_entities/722785"",""id"":""au::6755:1"",""isCapacity"":false}",ark:/83110/x0/8d8deaee-666d-53ad-b4cf-cf2486811788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_CreationActors,,,au::27621:::RDV.1,,,,lhbr,e251860d-4e6c-5434-ac67-4e6e36045e67,co,,au::27621:1::RDV.1,au::27621g:1::RDV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/2955447"",""au::27621"",""au::27621:1"",""ark:/83110/x0/8aa3b550-a9f9-5acc-83b9-e551a3677835"",""Roger Janssens [Redacteur van Film]""],""name"":""Roger Janssens [Redacteur van Film]"",""ark"":""ark:/83110/x0/8aa3b550-a9f9-5acc-83b9-e551a3677835"",""uri"":""/agents/people/2955447"",""id"":""au::27621:1"",""capacity"":""Redacteur van Film"",""isCapacity"":true,""relatorRaw"":""au::27621:1::RDV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8aa3b550-a9f9-5acc-83b9-e551a3677835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19660308,,,,,,,,,,,,,,,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1966-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000156213,referentienummer,False,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:165657,brocade id,False,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:165657/N,brocade url,False,,,,,,,,,,,,
9fee0af2-6140-57d0-91e6-22213b4282a5,tg:lhbr:165657,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5933ff72-e110-5e43-83b2-3777fa2d2b12"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f6958912-b5ca-44c1-8e98-56ec451f31a6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
