ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:119321,https://data.letterenhuis.be/ark:/24970/aab99922-68b6-5813-82cc-8ec06666a4d9,Brieven,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.0,2033,In Copyright
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_CreationActors,,,au::26892:::MWV.1,,,,lhbr,888a0a69-2114-533a-96b7-1f1ba919ced9,bs,,au::26892:1::MWV.1,au::26892g:1::MWV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2877444"",""au::26892"",""au::26892:1"",""ark:/83110/x0/cf3392b1-0ff2-57f1-b12a-36f44a7eec16"",""Leon de Raedemaeker [Medewerker van Ons Vlaanderen [Dagblad]]""],""name"":""Leon de Raedemaeker [Medewerker van Ons Vlaanderen [Dagblad]]"",""ark"":""ark:/83110/x0/cf3392b1-0ff2-57f1-b12a-36f44a7eec16"",""uri"":""/agents/people/2877444"",""id"":""au::26892:1"",""capacity"":""Medewerker van Ons Vlaanderen [Dagblad]"",""isCapacity"":true,""relatorRaw"":""au::26892:1::MWV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/cf3392b1-0ff2-57f1-b12a-36f44a7eec16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_CreationActors,,,au::14643,,,,lhbr,3667cc9b-4a63-54a8-b308-ec4c19bbdd0c,co,,au::14643:1,au::14643g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1566801"",""au::14643"",""au::14643:1"",""ark:/83110/x0/3667cc9b-4a63-54a8-b308-ec4c19bbdd0c"",""Alfons van de Perre""],""name"":""Alfons van de Perre"",""ark"":""ark:/83110/x0/3667cc9b-4a63-54a8-b308-ec4c19bbdd0c"",""uri"":""/agents/people/1566801"",""id"":""au::14643:1"",""isCapacity"":false}",ark:/83110/x0/3667cc9b-4a63-54a8-b308-ec4c19bbdd0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19180707,,,,,,,,,,,,,,,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1918-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000112352,referentienummer,False,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:119321,brocade id,False,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:119321/N,brocade url,False,,,,,,,,,,,,
aab99922-68b6-5813-82cc-8ec06666a4d9,tg:lhbr:119321,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""12a2b26e-bc89-5262-b411-acb459ed6cdb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f4c76931-c1d5-46dc-843c-c1d0e5a0a8e8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
