ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:64235,https://data.letterenhuis.be/ark:/24970/b0914d7a-2f07-5745-a429-fe685a8fe93f,Brieven,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,2080,In Copyright
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_CreationActors,,,au::7739,,,,lhbr,114b11a3-ec76-5eff-9a93-a03eca3a3b2a,bs,,au::7739:1,au::7739g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/828073"",""au::7739"",""au::7739:1"",""ark:/83110/x0/114b11a3-ec76-5eff-9a93-a03eca3a3b2a"",""Korneel Goossens""],""name"":""Korneel Goossens"",""ark"":""ark:/83110/x0/114b11a3-ec76-5eff-9a93-a03eca3a3b2a"",""uri"":""/agents/people/828073"",""id"":""au::7739:1"",""isCapacity"":false}",ark:/83110/x0/114b11a3-ec76-5eff-9a93-a03eca3a3b2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_CreationActors,,,au::25231,,,,lhbr,13f6579e-95bb-545d-980f-fb341c00fae3,co,,au::25231:1,au::25231g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/2699717"",""au::25231"",""au::25231:1"",""ark:/83110/x0/13f6579e-95bb-545d-980f-fb341c00fae3"",""J. Willems""],""name"":""J. Willems"",""ark"":""ark:/83110/x0/13f6579e-95bb-545d-980f-fb341c00fae3"",""uri"":""/agents/people/2699717"",""id"":""au::25231:1"",""isCapacity"":false}",ark:/83110/x0/13f6579e-95bb-545d-980f-fb341c00fae3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19651021,,,,,,,,,,,,,,,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1965-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000061583,referentienummer,False,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:64235,brocade id,False,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:64235/N,brocade url,False,,,,,,,,,,,,
b0914d7a-2f07-5745-a429-fe685a8fe93f,tg:lhbr:64235,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""28f9947a-8660-5a90-b749-4636cff25532"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d689e22d-2e54-43e7-9513-5ca165edfbef"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
