ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:261855,https://data.letterenhuis.be/ark:/24970/b14000a1-0056-5590-ad63-ebe677197e0b,Brieven,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0,2113,In Copyright
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_CreationActors,,,au::111237,,,,lhbr,2dcfac82-790c-5424-a208-ced0eae2324f,bs,,au::111237:1,au::111237g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11902359"",""au::111237"",""au::111237:1"",""ark:/83110/x0/2dcfac82-790c-5424-a208-ced0eae2324f"",""Arjen Duinker""],""name"":""Arjen Duinker"",""ark"":""ark:/83110/x0/2dcfac82-790c-5424-a208-ced0eae2324f"",""uri"":""/agents/people/11902359"",""id"":""au::111237:1"",""isCapacity"":false}",ark:/83110/x0/2dcfac82-790c-5424-a208-ced0eae2324f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_CreationActors,,,au::2621,,,,lhbr,6379ddb1-735e-560f-82ee-2288ed3505db,co,,au::2621:1,au::2621g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/280447"",""au::2621"",""au::2621:1"",""ark:/83110/x0/6379ddb1-735e-560f-82ee-2288ed3505db"",""Hugo Bousset""],""name"":""Hugo Bousset"",""ark"":""ark:/83110/x0/6379ddb1-735e-560f-82ee-2288ed3505db"",""uri"":""/agents/people/280447"",""id"":""au::2621:1"",""isCapacity"":false}",ark:/83110/x0/6379ddb1-735e-560f-82ee-2288ed3505db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19980320,,,,,,,,,,,,,,,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1998-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000250617,referentienummer,False,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:261855,brocade id,False,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:261855/N,brocade url,False,,,,,,,,,,,,
b14000a1-0056-5590-ad63-ebe677197e0b,tg:lhbr:261855,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b2446d90-30b4-5486-83f1-040a660fd4b1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""caa1049f-893b-47c7-bbd9-779f70e77be5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
