ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:21203,https://data.letterenhuis.be/ark:/24970/b1bae09f-ca1e-5058-8f14-4793f9b64f57,Brieven,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,2016,No Known Copyright
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_CreationActors,,,au::3114:::HRV.1,,,,lhbr,f6ef9073-013b-5181-a2fb-8062badbe60b,bs,,au::3114:1::HRV.1,au::3114g:1::HRV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/333198"",""au::3114"",""au::3114:1"",""ark:/83110/x0/989e3530-d4e8-55fa-95b1-b22d11db7a69"",""Jan Bruylants [Hoofdredacteur van Lucifer]""],""name"":""Jan Bruylants [Hoofdredacteur van Lucifer]"",""ark"":""ark:/83110/x0/989e3530-d4e8-55fa-95b1-b22d11db7a69"",""uri"":""/agents/people/333198"",""id"":""au::3114:1"",""capacity"":""Hoofdredacteur van Lucifer"",""isCapacity"":true,""relatorRaw"":""au::3114:1::HRV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/989e3530-d4e8-55fa-95b1-b22d11db7a69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_CreationActors,,,au::11840,,,,lhbr,14512c87-0830-5210-b7f0-09b0db051e44,co,,au::11840:1,au::11840g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/1266880"",""au::11840"",""au::11840:1"",""ark:/83110/x0/14512c87-0830-5210-b7f0-09b0db051e44"",""Lucifer""],""name"":""Lucifer"",""ark"":""ark:/83110/x0/14512c87-0830-5210-b7f0-09b0db051e44"",""uri"":""/agents/corporate_entities/1266880"",""id"":""au::11840:1"",""isCapacity"":false}",ark:/83110/x0/14512c87-0830-5210-b7f0-09b0db051e44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19011207,,,,,,,,,,,,,,,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1901-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000020341,referentienummer,False,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:21203,brocade id,False,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:21203/N,brocade url,False,,,,,,,,,,,,
b1bae09f-ca1e-5058-8f14-4793f9b64f57,tg:lhbr:21203,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b9a5be58-a4e7-54e9-afa9-ab555cc2f939"", ""ontologyProperty"": """", ""resourceXresourceId"": ""443f076b-86f5-48b2-b93e-27f809f2c138"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
