ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:262935,https://data.letterenhuis.be/ark:/24970/bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,Brieven,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,2116,In Copyright
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_CreationActors,,,au::19567,,,,lhbr,57902f53-a2b3-5e72-92df-7e04ff6f9de7,bs,,au::19567:1,au::19567g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2093669"",""au::19567"",""au::19567:1"",""ark:/83110/x0/57902f53-a2b3-5e72-92df-7e04ff6f9de7"",""Peter Verhelst""],""name"":""Peter Verhelst"",""ark"":""ark:/83110/x0/57902f53-a2b3-5e72-92df-7e04ff6f9de7"",""uri"":""/agents/people/2093669"",""id"":""au::19567:1"",""isCapacity"":false}",ark:/83110/x0/57902f53-a2b3-5e72-92df-7e04ff6f9de7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_CreationActors,,,au::2621,,,,lhbr,6379ddb1-735e-560f-82ee-2288ed3505db,co,,au::2621:1,au::2621g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/280447"",""au::2621"",""au::2621:1"",""ark:/83110/x0/6379ddb1-735e-560f-82ee-2288ed3505db"",""Hugo Bousset""],""name"":""Hugo Bousset"",""ark"":""ark:/83110/x0/6379ddb1-735e-560f-82ee-2288ed3505db"",""uri"":""/agents/people/280447"",""id"":""au::2621:1"",""isCapacity"":false}",ark:/83110/x0/6379ddb1-735e-560f-82ee-2288ed3505db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,20011021,,,,,,,,,,,,,,,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,2uu1-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000251695,referentienummer,False,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:262935,brocade id,False,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:262935/N,brocade url,False,,,,,,,,,,,,
bacccefd-aa2a-5d2b-a8b9-d09943d5ad20,tg:lhbr:262935,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""49751e67-f4ec-52b1-9201-5971e6eeeea9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""40206130-df86-4c82-a1b6-a013d2b4f52d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
