ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:184015,https://data.letterenhuis.be/ark:/24970/bc75032a-0d71-5afe-87f6-bc5a01617b2a,Brieven,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.0,2018,No Known Copyright
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_CreationActors,,,au::6100,,,,lhbr,1f232bce-d3cc-5405-87a5-c979723ba6dc,bs,,au::6100:1,au::6100g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/652700"",""au::6100"",""au::6100:1"",""ark:/83110/x0/1f232bce-d3cc-5405-87a5-c979723ba6dc"",""Louisa Duykers""],""name"":""Louisa Duykers"",""ark"":""ark:/83110/x0/1f232bce-d3cc-5405-87a5-c979723ba6dc"",""uri"":""/agents/people/652700"",""id"":""au::6100:1"",""isCapacity"":false}",ark:/83110/x0/1f232bce-d3cc-5405-87a5-c979723ba6dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_CreationActors,,,au::7895,,,,lhbr,d28a5d89-5d94-57a6-ad39-e63aad0316b7,co,,au::7895:1,au::7895g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/844765"",""au::7895"",""au::7895:1"",""ark:/83110/x0/d28a5d89-5d94-57a6-ad39-e63aad0316b7"",""Emile de Grave""],""name"":""Emile de Grave"",""ark"":""ark:/83110/x0/d28a5d89-5d94-57a6-ad39-e63aad0316b7"",""uri"":""/agents/people/844765"",""id"":""au::7895:1"",""isCapacity"":false}",ark:/83110/x0/d28a5d89-5d94-57a6-ad39-e63aad0316b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19030221,,,,,,,,,,,,,,,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1903-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000173771,referentienummer,False,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:184015,brocade id,False,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:184015/N,brocade url,False,,,,,,,,,,,,
bc75032a-0d71-5afe-87f6-bc5a01617b2a,tg:lhbr:184015,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9e7c4786-9ab5-513d-a223-ed2621c8c721"", ""ontologyProperty"": """", ""resourceXresourceId"": ""aeb98e27-7b80-4371-828c-257fd42e7e96"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
