ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:305622,https://data.letterenhuis.be/ark:/24970/c2bba88c-0aef-5ed0-986d-af11bbc87d13,Brieven,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,2119,In Copyright
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_CreationActors,,,au::57153,,,,lhbr,b7909856-2e99-58d1-961f-2d019ce20330,bs,,au::57153:1,au::57153g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/6115371"",""au::57153"",""au::57153:1"",""ark:/83110/x0/b7909856-2e99-58d1-961f-2d019ce20330"",""Jacqueline Broucke-Calmeyn""],""name"":""Jacqueline Broucke-Calmeyn"",""ark"":""ark:/83110/x0/b7909856-2e99-58d1-961f-2d019ce20330"",""uri"":""/agents/people/6115371"",""id"":""au::57153:1"",""isCapacity"":false}",ark:/83110/x0/b7909856-2e99-58d1-961f-2d019ce20330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_CreationActors,,,au::8184,,,,lhbr,de8eee39-08c0-5e61-a403-8cbf08b5809e,co,,au::8184:1,au::8184g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/875688"",""au::8184"",""au::8184:1"",""ark:/83110/x0/de8eee39-08c0-5e61-a403-8cbf08b5809e"",""Christine D' haen""],""name"":""Christine D' haen"",""ark"":""ark:/83110/x0/de8eee39-08c0-5e61-a403-8cbf08b5809e"",""uri"":""/agents/people/875688"",""id"":""au::8184:1"",""isCapacity"":false}",ark:/83110/x0/de8eee39-08c0-5e61-a403-8cbf08b5809e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,20041211,,,,,,,,,,,,,,,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,2uu4-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000293981,referentienummer,False,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:305622,brocade id,False,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:305622/N,brocade url,False,,,,,,,,,,,,
c2bba88c-0aef-5ed0-986d-af11bbc87d13,tg:lhbr:305622,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b26a08e6-f049-5e0a-99ef-1e3fe13b4a41"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c38d3e8e-235a-442f-bbd6-f17507fd27df"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
