ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:33570,https://data.letterenhuis.be/ark:/24970/c367f7c5-3493-5fad-9748-2850f6a2c2c0,Brieven,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.0,2083,In Copyright
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_CreationActors,,,au::27760:::VZV.1,,,,lhbr,a865f6d9-db7a-51fa-aa84-8f8565e671cd,bs,,au::27760:1::VZV.1,au::27760g:1::VZV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2970320"",""au::27760"",""au::27760:1"",""ark:/83110/x0/8ed4cbbb-de98-51c6-b7fb-0c0ddc031269"",""Raf de Cock [Voorzitter van Algemeen Westvlaams Toneel]""],""name"":""Raf de Cock [Voorzitter van Algemeen Westvlaams Toneel]"",""ark"":""ark:/83110/x0/8ed4cbbb-de98-51c6-b7fb-0c0ddc031269"",""uri"":""/agents/people/2970320"",""id"":""au::27760:1"",""capacity"":""Voorzitter van Algemeen Westvlaams Toneel"",""isCapacity"":true,""relatorRaw"":""au::27760:1::VZV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8ed4cbbb-de98-51c6-b7fb-0c0ddc031269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_CreationActors,,,au::14849,,,,lhbr,12b830f7-0574-5ef3-b8d0-1bfff2d7fc76,co,,au::14849:1,au::14849g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1588843"",""au::14849"",""au::14849:1"",""ark:/83110/x0/12b830f7-0574-5ef3-b8d0-1bfff2d7fc76"",""Antoon Vander Plaetse""],""name"":""Antoon Vander Plaetse"",""ark"":""ark:/83110/x0/12b830f7-0574-5ef3-b8d0-1bfff2d7fc76"",""uri"":""/agents/people/1588843"",""id"":""au::14849:1"",""isCapacity"":false}",ark:/83110/x0/12b830f7-0574-5ef3-b8d0-1bfff2d7fc76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19681025,,,,,,,,,,,,,,,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1968-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000032392,referentienummer,False,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:33570,brocade id,False,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:33570/N,brocade url,False,,,,,,,,,,,,
c367f7c5-3493-5fad-9748-2850f6a2c2c0,tg:lhbr:33570,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7b106757-bbbd-5bc9-8cce-ced66f89cd9b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c486e114-a095-4d94-a097-04e6231b82dc"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
