ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:191063,https://data.letterenhuis.be/ark:/24970/c95d6a28-2c65-573c-aeef-4ddd492148ab,Brieven,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,2076,In Copyright
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_CreationActors,,,au::52325,,,,lhbr,b11adae9-fcea-5dc9-81c1-0fdb21383c01,bs,,au::52325:1,au::52325g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/5598775"",""au::52325"",""au::52325:1"",""ark:/83110/x0/b11adae9-fcea-5dc9-81c1-0fdb21383c01"",""Frits Kief""],""name"":""Frits Kief"",""ark"":""ark:/83110/x0/b11adae9-fcea-5dc9-81c1-0fdb21383c01"",""uri"":""/agents/people/5598775"",""id"":""au::52325:1"",""isCapacity"":false}",ark:/83110/x0/b11adae9-fcea-5dc9-81c1-0fdb21383c01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_CreationActors,,,au::14024,,,,lhbr,b13ef9a5-887b-5d64-8364-8c23b510d4e3,co,,au::14024:1,au::14024g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/1500568"",""au::14024"",""au::14024:1"",""ark:/83110/x0/b13ef9a5-887b-5d64-8364-8c23b510d4e3"",""Ontwikkeling""],""name"":""Ontwikkeling"",""ark"":""ark:/83110/x0/b13ef9a5-887b-5d64-8364-8c23b510d4e3"",""uri"":""/agents/corporate_entities/1500568"",""id"":""au::14024:1"",""isCapacity"":false}",ark:/83110/x0/b13ef9a5-887b-5d64-8364-8c23b510d4e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19610427,,,,,,,,,,,,,,,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1961-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000180725,referentienummer,False,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:191063,brocade id,False,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:191063/N,brocade url,False,,,,,,,,,,,,
c95d6a28-2c65-573c-aeef-4ddd492148ab,tg:lhbr:191063,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0b8b33f8-4c4f-5323-b593-27a8740407de"", ""ontologyProperty"": """", ""resourceXresourceId"": ""de667da2-98b8-41b4-a96c-4c8a59388e63"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
