ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:34390,https://data.letterenhuis.be/ark:/24970/d2fd0dbe-1691-55e7-90cd-c4dea18b241c,Brieven,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Door Conscience gemaakt afschrift van zijn brief samen met de tekst van de inkomende brief van Nicolaas Beets</p>
","<p>Door Conscience gemaakt afschrift van zijn brief samen met de tekst van de inkomende brief van Nicolaas Beets</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881.0,1996,No Copyright - Public Domain Mark 1.0
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_CreationActors,,,au::4333,,,,lhbr,ebd00cc4-2119-5474-b6ef-42b56014bfd9,bs,,au::4333:1,au::4333g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/463631"",""au::4333"",""au::4333:1"",""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""Hendrik Conscience""],""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""uri"":""/agents/people/463631"",""id"":""au::4333:1"",""isCapacity"":false}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_CreationActors,,,au::1292,,,,lhbr,d43d9b39-71c7-57d4-8bf0-82bd7d1c9fb2,co,,au::1292:1,au::1292g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/138244"",""au::1292"",""au::1292:1"",""ark:/83110/x0/d43d9b39-71c7-57d4-8bf0-82bd7d1c9fb2"",""Nicolaas Beets""],""name"":""Nicolaas Beets"",""ark"":""ark:/83110/x0/d43d9b39-71c7-57d4-8bf0-82bd7d1c9fb2"",""uri"":""/agents/people/138244"",""id"":""au::1292:1"",""isCapacity"":false}",ark:/83110/x0/d43d9b39-71c7-57d4-8bf0-82bd7d1c9fb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18810000,,,,,,,,,,,,,,,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000033177,referentienummer,False,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:34390,brocade id,False,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:34390/N,brocade url,False,,,,,,,,,,,,
d2fd0dbe-1691-55e7-90cd-c4dea18b241c,tg:lhbr:34390,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a3c4be4c-d89f-52cf-997f-0d09e8297ee1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5b67228f-f32a-4852-8273-490de29b4807"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
