ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:287477,https://data.letterenhuis.be/ark:/24970/df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,Brieven,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,2108,In Copyright
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_CreationActors,,,au::8926,,,,lhbr,cae87965-f515-54ec-af1c-d66aaf63a928,bs,,au::8926:1,au::8926g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/955082"",""au::8926"",""au::8926:1"",""ark:/83110/x0/cae87965-f515-54ec-af1c-d66aaf63a928"",""Jan van der Hoeven""],""name"":""Jan van der Hoeven"",""ark"":""ark:/83110/x0/cae87965-f515-54ec-af1c-d66aaf63a928"",""uri"":""/agents/people/955082"",""id"":""au::8926:1"",""isCapacity"":false}",ark:/83110/x0/cae87965-f515-54ec-af1c-d66aaf63a928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_CreationActors,,,au::46078,,,,lhbr,d339caa1-7123-5e92-8e5b-f52b3e6d6638,co,,au::46078:1,au::46078g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/4930346"",""au::46078"",""au::46078:1"",""ark:/83110/x0/d339caa1-7123-5e92-8e5b-f52b3e6d6638"",""Atlas""],""name"":""Atlas"",""ark"":""ark:/83110/x0/d339caa1-7123-5e92-8e5b-f52b3e6d6638"",""uri"":""/agents/corporate_entities/4930346"",""id"":""au::46078:1"",""isCapacity"":false}",ark:/83110/x0/d339caa1-7123-5e92-8e5b-f52b3e6d6638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19931129,,,,,,,,,,,,,,,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1993-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000275999,referentienummer,False,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:287477,brocade id,False,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:287477/N,brocade url,False,,,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 brgr,groepsbeschrijving,False,1,brgr,,,,,,,,,,
df4dc6a0-f5a4-5459-bb8e-f5c24be5958f,tg:lhbr:287477,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""760db918-097e-52c3-af6a-99254ef00acb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""78ff4e3d-3f54-4108-9e28-6205ed8848d2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
