ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:154663,https://data.letterenhuis.be/ark:/24970/e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,Brieven,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,2073,In Copyright
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_CreationActors,,,au::42764,,,,lhbr,0d56a69b-84d4-58b2-9d00-4fb0fd0a178f,bs,,au::42764:1,au::42764g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4575748"",""au::42764"",""au::42764:1"",""ark:/83110/x0/0d56a69b-84d4-58b2-9d00-4fb0fd0a178f"",""P.A.H.M. van Vlijmen""],""name"":""P.A.H.M. van Vlijmen"",""ark"":""ark:/83110/x0/0d56a69b-84d4-58b2-9d00-4fb0fd0a178f"",""uri"":""/agents/people/4575748"",""id"":""au::42764:1"",""isCapacity"":false}",ark:/83110/x0/0d56a69b-84d4-58b2-9d00-4fb0fd0a178f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_CreationActors,,,au::21477:::SEV.1,,,,lhbr,88bb3df2-bf2b-5567-ab4b-a42510093963,co,,au::21477:1::SEV.1,au::21477g:1::SEV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/2298039"",""au::21477"",""au::21477:1"",""ark:/83110/x0/15c53b12-259e-5ccf-a9e0-8a876311a112"",""Arie Wolter Willemsen [Secretaris van Nederlanden in Europa [Genootschap]]""],""name"":""Arie Wolter Willemsen [Secretaris van Nederlanden in Europa [Genootschap]]"",""ark"":""ark:/83110/x0/15c53b12-259e-5ccf-a9e0-8a876311a112"",""uri"":""/agents/people/2298039"",""id"":""au::21477:1"",""capacity"":""Secretaris van Nederlanden in Europa [Genootschap]"",""isCapacity"":true,""relatorRaw"":""au::21477:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/15c53b12-259e-5ccf-a9e0-8a876311a112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19581103,,,,,,,,,,,,,,,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1958-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000145939,referentienummer,False,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:154663,brocade id,False,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:154663/N,brocade url,False,,,,,,,,,,,,
e93c7cc0-9400-5fc1-bbe9-0826e9e9cf86,tg:lhbr:154663,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f749e6d0-03e2-5fbd-a743-bea748e95116"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9a2bc9b8-d900-4070-b307-69ba295faf46"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
