ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:45455,https://data.letterenhuis.be/ark:/24970/ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,Brieven,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.0,2063,In Copyright
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_CreationActors,,,au::29453,,,,lhbr,4329809c-3fe7-5928-b5de-3aec721f9dfa,bs,,au::29453:1,au::29453g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3151471"",""au::29453"",""au::29453:1"",""ark:/83110/x0/4329809c-3fe7-5928-b5de-3aec721f9dfa"",""Joseph Devos""],""name"":""Joseph Devos"",""ark"":""ark:/83110/x0/4329809c-3fe7-5928-b5de-3aec721f9dfa"",""uri"":""/agents/people/3151471"",""id"":""au::29453:1"",""isCapacity"":false}",ark:/83110/x0/4329809c-3fe7-5928-b5de-3aec721f9dfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_CreationActors,,,au::21423,,,,lhbr,6517d3a6-6851-530a-b6eb-54e5d9f58f9b,co,,au::21423:1,au::21423g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/2292261"",""au::21423"",""au::21423:1"",""ark:/83110/x0/6517d3a6-6851-530a-b6eb-54e5d9f58f9b"",""Frans Wildiers""],""name"":""Frans Wildiers"",""ark"":""ark:/83110/x0/6517d3a6-6851-530a-b6eb-54e5d9f58f9b"",""uri"":""/agents/people/2292261"",""id"":""au::21423:1"",""isCapacity"":false}",ark:/83110/x0/6517d3a6-6851-530a-b6eb-54e5d9f58f9b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19480917,,,,,,,,,,,,,,,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1948-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000043792,referentienummer,False,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:45455,brocade id,False,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:45455/N,brocade url,False,,,,,,,,,,,,
ec48ae98-ab0a-5ad0-ae8b-d6d6dcc1d14d,tg:lhbr:45455,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f469cf58-10ab-50d8-8695-e94b7b271871"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d3a6b7ff-6f8a-425d-930f-6f50219f448b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
