ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
e4bd6076-a798-57b6-ac8a-51eb0b78c255,tg:rubgr:4144,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:4144,https://data.rubenianum.be//ark:/86530/e4bd6076-a798-57b6-ac8a-51eb0b78c255,Handschriften,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e9671688-8bb6-4bd6-828a-576b27a9dcff"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7a1c9e0b-11de-44d4-b610-44462a3a50fa"", ""inverseOntologyProperty"": """"}]"
e4bd6076-a798-57b6-ac8a-51eb0b78c255,tg:rubgr:4144,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,tg:rubgr:4144,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bruegel. Yorkshire Loan Exhibition of Pictures at the Judges Lodgings Lendal, York, July-August 1934, 58 Pieter Brueghel the Younger, Peasant Wedding, signed and dated 1625; [verso] Masterpieces from Yorkshire Houses, York festival Exhibition, City of York Art Gallery, June 1951, Jan Brueghel, nos. 7, 8, 9, 10 [...]",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000004144,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>6397</priref>
			<number>AFG_109_024</number>
			<content>Bruegel. Yorkshire Loan Exhibition of Pictures at the Judges Lodgings Lendal, York, July-August 1934, 58 Pieter Brueghel the Younger, Peasant Wedding, signed and dated 1625; [verso] Masterpieces from Yorkshire Houses, York festival Exhibition, City of York Art Gallery, June 1951, Jan Brueghel, nos. 7, 8, 9, 10 [...]</content>
			<object.object_number>AFG_109</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<editorial_form>Referentie</editorial_form>
			<object.title>Bruegel &amp; Brueghel; Holbein etc.; Royal Collection; Rubens</object.title>
			<keyword>Brueghel, Pieter II</keyword>
			<keyword>Brueghel, Jan I</keyword>
			<object.creator/>
			<input.date>2014-07-03</input.date>
			<input.name>Centrum</input.name>
			<input.time>09:37:06</input.time>
			<input.source>archive</input.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:4144,brocade id,False,,,,,,,,,,,,,,,,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:4144/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,tg:rubgr:4144,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5bc8b281-4ac3-5bf2-bbed-3e50d92109f6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c753e903-b683-43a2-a3f1-8176f2402c2a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,
e4bd6076-a798-57b6-ac8a-51eb0b78c255,tg:rubgr:4144,e73_OriginalBrocade,,,au::3027,,,,,,,,,,,,,,rub,ca79196f-9430-56d2-86ca-543e10adef0a,kw,,au::3027:1,au::3027g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/323889"",""au::3027"",""au::3027:1"",""ark:/83110/x0/ca79196f-9430-56d2-86ca-543e10adef0a"",""Pieter Brueghel De Jonge""],""name"":""Pieter Brueghel De Jonge"",""ark"":""ark:/83110/x0/ca79196f-9430-56d2-86ca-543e10adef0a"",""uri"":""/agents/people/323889"",""id"":""au::3027:1"",""isCapacity"":false}",ark:/83110/x0/ca79196f-9430-56d2-86ca-543e10adef0a,agent,,,,,,,,,,,,,,,,
