ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Start Date,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,museum,resource_model,ire.isaar.uuid,source_ire_type,Original Entity Type,au_code,g_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,matched on,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
0fc429d5-3926-59eb-b6fe-5aebd50a05be,tg:rubgr:2383,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:2383,record identifiers,https://data.rubenianum.be//ark:/86530/0fc429d5-3926-59eb-b6fe-5aebd50a05be,object identifier,Foto's,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e268e511-c7fe-4dac-b54a-50126d437d40"", ""ontologyProperty"": """", ""resourceXresourceId"": ""27997fd7-5913-4c62-9266-363b637cf504"", ""inverseOntologyProperty"": """"}]"
0fc429d5-3926-59eb-b6fe-5aebd50a05be,tg:rubgr:2383,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,tg:rubgr:2383,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,"<p>[1 zw/w foto met stempel]: The Metropolitan Museum of Art, 1928, [Notitie in onbekend handschrift]: Bruegel, Jan the Younger, Flemish Village.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,tg:rubgr:2383,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York, The Metropolitan Museum of Art",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000002383,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>4626</priref>
			<number>AFG_077_067</number>
			<content>[1 zw/w foto met stempel]: The Metropolitan Museum of Art, 1928, [Notitie in onbekend handschrift]: Bruegel, Jan the Younger, Flemish Village.</content>
			<object.object_number>AFG_077</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>Grossmann 242</object.title>
			<keyword>New York, The Metropolitan Museum of Art</keyword>
			<keyword>Breughel, Jan II</keyword>
			<object.creator>Breughel, Jan I</object.creator>
			<input.date>2013-06-20</input.date>
			<edit.date>2013-06-21</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>14:22:51</edit.time>
			<input.time>14:10:04</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:2383,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:2383/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc429d5-3926-59eb-b6fe-5aebd50a05be,tg:rubgr:2383,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9c4f36a5-17e9-5b2a-8d85-e9943e3656c0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""627c0b3e-e981-4905-bd2c-194f31e0738b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,
